CLASS:Alchemist.MOD	OUTPUTNAME:煉金術師 (Alchemist)
CLASS:Cavalier.MOD	OUTPUTNAME:騎將 (Cavalier)
CLASS:Inquisitor.MOD	OUTPUTNAME:審判者 (Inquisitor)
CLASS:Oracle.MOD	OUTPUTNAME:先知 (Oracle)
CLASS:Summoner.MOD	OUTPUTNAME:召喚師 (Summoner)
CLASS:Witch.MOD	OUTPUTNAME:女巫 (Witch)
CLASS:Antipaladin.MOD	OUTPUTNAME:反聖騎士 (Antipaladin)
CLASS:Battle Herald.MOD	OUTPUTNAME:先鋒 (Battle Herald)
CLASS:Holy Vindicator.MOD	OUTPUTNAME:神聖辯護者 (Holy Vindicator)
CLASS:Horizon Walker.MOD	OUTPUTNAME:大地旅者 (Horizon Walker)
CLASS:Master Chymist.MOD	OUTPUTNAME:煉金大師 (Master Chymist)
CLASS:Master Spy.MOD	OUTPUTNAME:間諜大師 (Master Spy)
CLASS:Nature Warden.MOD	OUTPUTNAME:自然守望者 (Nature Warden)
CLASS:Rage Prophet.MOD	OUTPUTNAME:怒火先知 (Rage Prophet)
CLASS:Stalwart Defender.MOD	OUTPUTNAME:堅定防衛者 (Stalwart Defender)
