Cloud Subdomain.MOD	OUTPUTNAME:雲子域（Cloud）
Feather Subdomain.MOD	OUTPUTNAME:飛羽子域（Feather）
Construct Subdomain.MOD	OUTPUTNAME:構裝子域（Construct）
Azata Subdomain (Good).MOD	OUTPUTNAME:愛塔子域（善良）（Azata）
Azata Subdomain (Chaos).MOD	OUTPUTNAME:愛塔子域（混乱）（Azata）
Love Subdomain.MOD	OUTPUTNAME:愛慕子域（Love）
Family Subdomain.MOD	OUTPUTNAME:家族子域（Family）
Loss Subdomain.MOD	OUTPUTNAME:失卻子域（Loss）
Murder Subdomain.MOD	OUTPUTNAME:殺戮子域（Murder）
Catastrophe Subdomain.MOD	OUTPUTNAME:天災子域（Catastrophe）
Caves Subdomain.MOD	OUTPUTNAME:窟子域（Caves）
Daemon Subdomain.MOD	OUTPUTNAME:邪魔子域（Daemon）
Ash Subdomain.MOD	OUTPUTNAME:灰燼子域（Ash）
Heroism Subdomain.MOD	OUTPUTNAME:英勇子域（Heroism）
Agathion Subdomain.MOD	OUTPUTNAME:蓋森子域（Agathion）
Restoration Subdomain.MOD	OUTPUTNAME:復原子域（Restoration）
Memory Subdomain.MOD	OUTPUTNAME:記憶子域（Memory）
Archon Subdomain (Good).MOD	OUTPUTNAME:亞空子域（善良）（Archon）
Archon Subdomain (Law).MOD	OUTPUTNAME:亞空子域（秩序）（Archon）
Freedom Subdomain.MOD	OUTPUTNAME:自由子域（Freedom）
Curse Subdomain.MOD	OUTPUTNAME:詛咒子域（Curse）
Insanity Subdomain.MOD	OUTPUTNAME:瘋狂子域（Insanity）
Arcane Subdomain.MOD	OUTPUTNAME:奧秘子域（Arcane）
Leadership Subdomain.MOD	OUTPUTNAME:領導子域（Leadership）
Decay Subdomain.MOD	OUTPUTNAME:腐朽子域（Decay）
Defense Subdomain.MOD	OUTPUTNAME:防禦子域（Defense）
Ancestors Subdomain.MOD	OUTPUTNAME:先祖子域（Ancestors）
Language Subdomain.MOD	OUTPUTNAME:語言子域（Language）
Ferocity Subdomain.MOD	OUTPUTNAME:兇猛子域（Ferocity）
Day Subdomain.MOD	OUTPUTNAME:白晝子域（Day）
Exploration Subdomain.MOD	OUTPUTNAME:探索子域（Exploration）
Deception Subdomain.MOD	OUTPUTNAME:欺騙子域（Deception）
Blood Subdomain.MOD	OUTPUTNAME:鮮血子域（Blood）
Ice Subdomain.MOD	OUTPUTNAME:冰子域（Ice）
Seasons Subdomain.MOD	OUTPUTNAME:季節子域（Seasons）
Wind Subdomain.MOD	OUTPUTNAME:風子域（Wind）
Fur Subdomain.MOD	OUTPUTNAME:毛獸子域（Fur）
Toil Subdomain.MOD	OUTPUTNAME:疲累子域（Toil）
Demon Subdomain (Evil).MOD	OUTPUTNAME:惡魔子域（邪恶）（Demon）
Demon Subdomain (Chaos).MOD	OUTPUTNAME:惡魔子域（混乱）（Demon）
Lust Subdomain.MOD	OUTPUTNAME:情慾子域（Lust）
Home Subdomain.MOD	OUTPUTNAME:家園子域（Home）
Night Subdomain.MOD	OUTPUTNAME:暗夜子域（Night）
Undead Subdomain.MOD	OUTPUTNAME:亡靈子域（Undead）
Rage Subdomain.MOD	OUTPUTNAME:狂暴子域（Rage）
Metal Subdomain.MOD	OUTPUTNAME:鐵子域（Metal）
Smoke Subdomain.MOD	OUTPUTNAME:煙幕子域（Smoke）
Honor Subdomain.MOD	OUTPUTNAME:誠實子域（Honor）
Resurrection Subdomain.MOD	OUTPUTNAME:回生子域（Resurrection）
Thought Subdomain.MOD	OUTPUTNAME:思想子域（Thought）
Revolution Subdomain.MOD	OUTPUTNAME:革命子域（Revolution）
Fate Subdomain.MOD	OUTPUTNAME:天命子域（Fate）
Nightmare Subdomain.MOD	OUTPUTNAME:夢魘子域（Nightmare）
Divine Subdomain.MOD	OUTPUTNAME:神力子域（Divine）
Martyr Subdomain.MOD	OUTPUTNAME:殉難子域（Martyr）
Growth Subdomain.MOD	OUTPUTNAME:滋長子域（Growth）
Purity Subdomain.MOD	OUTPUTNAME:純淨子域（Purity）
Souls Subdomain.MOD	OUTPUTNAME:靈魂子域（Souls）
Wards Subdomain.MOD	OUTPUTNAME:守護子域（Wards）
Resolve Subdomain.MOD	OUTPUTNAME:決意子域（Resolve）
Light Subdomain.MOD	OUTPUTNAME:光明子域（Light）
Trade Subdomain.MOD	OUTPUTNAME:交易子域（Trade）
Thievery Subdomain.MOD	OUTPUTNAME:盜竊子域（Thievery）
Tactics Subdomain.MOD	OUTPUTNAME:戰術子域（Tactics）
Oceans Subdomain.MOD	OUTPUTNAME:海子域（Oceans）
Storms Subdomain.MOD	OUTPUTNAME:風暴子域（Storms）
Protean Subdomain.MOD	OUTPUTNAME:星靈子域（Protean）
Devil Subdomain (Evil).MOD	OUTPUTNAME:魔鬼子域（邪恶）（Devil）
Devil Subdomain (Law).MOD	OUTPUTNAME:魔鬼子域（秩序）（Devil）
Inevitable Subdomain.MOD	OUTPUTNAME:制裁子域（Inevitable）
