Clawhand Shield.MOD	OUTPUTNAME:爪指盾（Clawhand Shield）
Full Plate of The Corpse.MOD	OUTPUTNAME:活屍全身甲（Full Plate of The Corpse）
Hero's Hauberk.MOD	OUTPUTNAME:英雄之鎖子甲（Hero's Hauberk）
Stalking Armor (Cold).MOD	OUTPUTNAME:追跡甲（寒地）（Stalking Armor（Cold））
Stalking Armor (Desert).MOD	OUTPUTNAME:追跡甲（沙漠）（Stalking Armor（Desert））
Stalking Armor (Forest).MOD	OUTPUTNAME:追跡甲（森林）（Stalking Armor（Forest））
Stalking Armor (Jungle).MOD	OUTPUTNAME:追跡甲（叢林）（Stalking Armor（Jungle））
Stalking Armor (Mountain).MOD	OUTPUTNAME:追跡甲（山脈）（Stalking Armor（Mountain））
Stalking Armor (Plains).MOD	OUTPUTNAME:追跡甲（平原）（Stalking Armor（Plains））
Stalking Armor (Swamp).MOD	OUTPUTNAME:追跡甲（沼澤）（Stalking Armor（Swamp））
Stalking Armor (Underground).MOD	OUTPUTNAME:追跡甲（地下）（Stalking Armor（Underground））
Stalking Armor (Urban).MOD	OUTPUTNAME:追跡甲（都市）（Stalking Armor（Urban））
Stalking Armor (Water).MOD	OUTPUTNAME:追跡甲（水）（Stalking Armor（Water））
Tireless Tracking Hide.MOD	OUTPUTNAME:不倦急行甲（Tireless Tracking Hide）
