Armor Of Insults.MOD	OUTPUTNAME:罵陣護甲 （Armor Of Insults）
Battlement Shield.MOD	OUTPUTNAME:城防巨盾 （Battlement Shield）
Boneless Leather.MOD	OUTPUTNAME:無骨皮甲 （Boneless Leather）
Buccaneer's Breastplate.MOD	OUTPUTNAME:海賊胸甲 （Buccaneer's Breastplate）
Daystar Half-Plate.MOD	OUTPUTNAME:晨星鎧 （Daystar Half-Plate）
Folding Plate.MOD	OUTPUTNAME:折疊鎧甲 （Folding Plate）
Forsaken Banded Mail.MOD	OUTPUTNAME:遺忘之甲 （Forsaken Banded Mail）
Fortress Shield.MOD	OUTPUTNAME:壁壘巨盾 （Fortress Shield）
Giant Hide (Cloud).MOD	OUTPUTNAME:雲巨人皮甲 （Giant Hide (Cloud)）
Giant Hide (Fire).MOD	OUTPUTNAME:火巨人皮甲 （Giant Hide (Fire)）
Giant Hide (Frost).MOD	OUTPUTNAME:冰巨人皮甲 （Giant Hide (Frost)）
Giant Hide (Hill).MOD	OUTPUTNAME:山丘巨人皮甲 （Giant Hide (Hill)）
Giant Hide (Ogre).MOD	OUTPUTNAME:食人魔皮甲 （Giant Hide (Ogre)）
Giant Hide (Stone).MOD	OUTPUTNAME:石巨人皮甲 （Giant Hide (Stone)）
Giant Hide (Storm).MOD	OUTPUTNAME:風暴巨人皮甲 （Giant Hide (Storm)）
Giant Hide (Troll).MOD	OUTPUTNAME:巨魔皮甲 （Giant Hide (Troll)）
Mistmail.MOD	OUTPUTNAME:霧紡軟甲 （Mistmail）
Murderer's Blackcloth.MOD	OUTPUTNAME:殺手黑袍 （Murderer's Blackcloth）
Soothsayer's Raiment.MOD	OUTPUTNAME:卜命師外袍 （Soothsayer's Raiment）
