Cursed Sword (-2).MOD	OUTPUTNAME: -2詛咒長劍（Cursed Sword -2）
Amulet of Inescapable Location.MOD	OUTPUTNAME: 無處藏身護符（Amulet of Inescapable Location）
Armor of Arrow Attraction.MOD	OUTPUTNAME: 箭靶護甲（Armor of Arrow Attraction）
Armor of Rage.MOD	OUTPUTNAME: 暴怒護甲（Armor of Rage）
Arrowbreak Bow.MOD	OUTPUTNAME: 損箭弓（Arrowbreak Bow）
Bag of Devouring.MOD	OUTPUTNAME: 吞噬袋（Bag of Devouring）
Belt of Weakness.MOD	OUTPUTNAME: 虛弱腰帶（Belt of Weakness）
Biting Battleaxe.MOD	OUTPUTNAME: 撕咬戰斧（Biting Battleaxe）
Boots of Dancing.MOD	OUTPUTNAME: 舞動靴（Boots of Dancing）
Bracers of Defenselessness.MOD	OUTPUTNAME: 破防護腕（Bracers of Defenselessness）
Broom of Animated Attack.MOD	OUTPUTNAME: 害人掃帚（Broom of Animated Attack）
Cape of Anchoring.MOD	OUTPUTNAME: 錨定斗篷（Cape of Anchoring）
Crystal Hypnosis Ball.MOD	OUTPUTNAME: 催眠水晶球（Crystal Hypnosis Ball）
Deadly Returns Throwing Axe.MOD	OUTPUTNAME: 致命回返飛斧（Deadly Returns Throwing Axe）
Drums of Lethargy.MOD	OUTPUTNAME: 昏然戰鼓（Drums of Lethargy）
Dust of Sneezing and Choking.MOD	OUTPUTNAME: 噴嚏粉（Dust of Sneezing and Choking）
Eyes of Blindness.MOD	OUTPUTNAME: 瞎人眼（Eyes of Blindness）
Flask of Curses.MOD	OUTPUTNAME: 詛咒水瓶（Flask of Curses）
Gauntlets of Fumbling.MOD	OUTPUTNAME: 笨拙護手（Gauntlets of Fumbling）
#Gravesoul Armor.MOD	OUTPUTNAME: 墓魂護甲 （Gravesoul Armor）
Headband of Stupidity.MOD	OUTPUTNAME: 愚蠢頭帶（Headband of Stupidity）
Heavy Hammer.MOD	OUTPUTNAME: 超重戰錘（Heavy Hammer）
Helm of Opposite Alignment.MOD	OUTPUTNAME: 陣營逆轉頭盔（Helm of Opposite Alignment）
Incense of Obsession.MOD	OUTPUTNAME: 強欲熏香 （Incense of Obsession）
Mace of Blood.MOD	OUTPUTNAME: 染血硬頭錘 （Mace of Blood）
Mask of Ugliness.MOD	OUTPUTNAME: 醜陋面具 （Mask of Ugliness）
Medallion of Thought Projection.MOD	OUTPUTNAME: 思想放射徽章 （Medallion of Thought Projection）
Nearfiring Bow.MOD	OUTPUTNAME: 近射弓（Nearfiring Bow）
Necklace of Strangulation.MOD	OUTPUTNAME: 扼喉項鏈（Necklace of Strangulation）
Net of Snaring.MOD	OUTPUTNAME: 自縛網（Net of Snaring）
Ornery Pistol.MOD	OUTPUTNAME: 背德手槍（Ornery Pistol）
Pauldrons of the Jackass.MOD	OUTPUTNAME: 犟驢護肩（Pauldrons of the Jackass）
Petrifying Cloak.MOD	OUTPUTNAME: 石化斗篷（Petrifying Cloak）
#Planar Invasion Shield.MOD	OUTPUTNAME: 破界盾（Planar Invasion Shield）
Poisonous Cloak.MOD	OUTPUTNAME: 劇毒披風（Poisonous Cloak）
Potion of Poison.MOD	OUTPUTNAME: 毒性藥水（Potion of Poison）
Ring of Clumsiness.MOD	OUTPUTNAME: 笨重戒指（Ring of Clumsiness）
Ring of Lifebleed.MOD	OUTPUTNAME: 傷損戒指（Ring of Lifebleed）
Ring of Spell Devouring.MOD	OUTPUTNAME: 噬法戒指（Ring of Spell Devouring）
Ring of Truth.MOD	OUTPUTNAME: 實話戒指（Ring of Truth）
Riot Pipes.MOD	OUTPUTNAME: 暴亂之笛（Riot Pipes）
Robe of Powerlessness.MOD	OUTPUTNAME: 衰弱長袍（Robe of Powerlessness）
Rod of Foiled Magic.MOD	OUTPUTNAME: 阻魔權杖（Rod of Foiled Magic）
Scarab of Death.MOD	OUTPUTNAME: 死亡聖甲蟲（Scarab of Death）
Scattershot Bracers.MOD	OUTPUTNAME: 散射護腕（Scattershot Bracers）
Staff of Occasional Wonder.MOD	OUTPUTNAME: 偶然奇蹟法杖 （Staff of Occasional Wonder）
Stone of Weight (Lodestone).MOD	OUTPUTNAME: 重力石（Stone of Weight (Lodestone)）
Unguent of Aging.MOD	OUTPUTNAME: 衰老藥膏（Unguent of Aging）
Unlucky Figurine.MOD	OUTPUTNAME: 惡運塑像（Unlucky Figurine）
Unstable Musket.MOD	OUTPUTNAME: 不穩定滑膛槍（Unstable Musket）
Unwieldy Glaive.MOD	OUTPUTNAME: 笨拙大砍刀（Unwieldy Glaive）
Vacuous Grimoire.MOD	OUTPUTNAME: 空虛魔典（Vacuous Grimoire）
