Oil of Bless Weapon.MOD	OUTPUTNAME:祝福武器油（Oil of Bless Weapon）
Oil of Darkness.MOD	OUTPUTNAME:黑暗術油（Oil of Darkness）
Oil of Daylight.MOD	OUTPUTNAME:晝明術油（Oil of Daylight）
Oil of Flame Arrow.MOD	OUTPUTNAME:火焰箭油（Oil of Flame Arrow）
Oil of Greater Magic Weapon +1.MOD	OUTPUTNAME:+1高等魔化武器油（Oil of Greater Magic Weapon +1）
Oil of Greater Magic Weapon +2.MOD	OUTPUTNAME:+2高等魔化武器油（Oil of Greater Magic Weapon +2）
Oil of Greater Magic Weapon +3.MOD	OUTPUTNAME:+3高等魔化武器油（Oil of Greater Magic Weapon +3）
Oil of Greater Magic Weapon +4.MOD	OUTPUTNAME:+4高等魔化武器油（Oil of Greater Magic Weapon +4）
Oil of Greater Magic Weapon +5.MOD	OUTPUTNAME:+5高等魔化武器油（Oil of Greater Magic Weapon +5）
Oil of Invisibility.MOD	OUTPUTNAME:隱形術油（Oil of Invisibility）
Oil of Keen Edge.MOD	OUTPUTNAME:銳鋒術油（Oil of Keen Edge）
Oil of Silence.MOD	OUTPUTNAME:沉默術油（Oil of Silence）
Oil of Levitate.MOD	OUTPUTNAME:浮空術油（Oil of Levitate）
Oil of Magic Stone.MOD	OUTPUTNAME:魔石術油（Oil of Magic Stone）
Oil of Magic Vestment +1.MOD	OUTPUTNAME:+1魔化防具油（Oil of Magic Vestment +1）
Oil of Magic Vestment +2.MOD	OUTPUTNAME:+2魔化防具油（Oil of Magic Vestment +2）
Oil of Magic Vestment +3.MOD	OUTPUTNAME:+3魔化防具油（Oil of Magic Vestment +3）
Oil of Magic Vestment +4.MOD	OUTPUTNAME:+4魔化防具油（Oil of Magic Vestment +4）
Oil of Magic Vestment +5.MOD	OUTPUTNAME:+5魔化防具油（Oil of Magic Vestment +5）
Oil of Magic Weapon.MOD	OUTPUTNAME:魔化武器油（Oil of Magic Weapon）
Oil of Shillelagh.MOD	OUTPUTNAME:橡棍術油（Oil of Shillelagh）
