Potion of Aid.MOD	OUTPUTNAME:援助術藥劑（Potion of Aid）
Potion of Barkskin +2.MOD	OUTPUTNAME:+2樹膚術藥劑（Potion of Barkskin +2）
Potion of Barkskin +3.MOD	OUTPUTNAME:+3樹膚術藥劑（Potion of Barkskin +3）
Potion of Barkskin +4.MOD	OUTPUTNAME:+4樹膚術藥劑（Potion of Barkskin +4）
Potion of Barkskin +5.MOD	OUTPUTNAME:+5樹膚術藥劑（Potion of Barkskin +5）
Potion of Bear's Endurance.MOD	OUTPUTNAME:熊之堅韌藥劑（Potion of Bear's Endurance）
Potion of Blur.MOD	OUTPUTNAME:朦朧術藥劑（Potion of Blur）
Potion of Bull's Strength.MOD	OUTPUTNAME:牛之力量藥劑（Potion of Bull's Strength）
Potion of Cat's Grace.MOD	OUTPUTNAME:貓之優雅藥劑（Potion of Cat's Grace）
Potion of Cure Light Wounds.MOD	OUTPUTNAME:治療輕傷藥劑（Potion of Cure Light Wounds）
Potion of Cure Moderate Wounds.MOD	OUTPUTNAME:治療中傷藥劑（Potion of Cure Moderate Wounds）
Potion of Cure Serious Wounds.MOD	OUTPUTNAME:治療重傷藥劑（Potion of Cure Serious Wounds）
Potion of Darkvision.MOD	OUTPUTNAME:黑暗視覺藥劑（Potion of Darkvision）
Potion of Delay Poison.MOD	OUTPUTNAME:減緩毒發藥劑（Potion of Delay Poison）
Potion of Displacement.MOD	OUTPUTNAME:移位術藥劑（Potion of Displacement）
Potion of Eagle's Splendor.MOD	OUTPUTNAME:鷹之威儀藥劑（Potion of Eagle's Splendor）
Potion of Endure Elements.MOD	OUTPUTNAME:忍受環境藥劑（Potion of Endure Elements）
Potion of Enlarge Person.MOD	OUTPUTNAME:變巨術藥劑（Potion of Enlarge Person）
Potion of Fly.MOD	OUTPUTNAME:飛行術藥劑（Potion of Fly）
Potion of Fox's Cunning.MOD	OUTPUTNAME:狐之狡黠藥劑（Potion of Fox's Cunning）
Potion of Gaseous Form.MOD	OUTPUTNAME:氣化形體藥劑（Potion of Gaseous Form）
Potion of Good Hope.MOD	OUTPUTNAME:強大希望藥劑（Potion of Good Hope）
Potion of Greater Magic Fang +1.MOD	OUTPUTNAME:+1高等魔牙術藥劑（Potion of Greater Magic Fang +1）
Potion of Greater Magic Fang +2.MOD	OUTPUTNAME:+2高等魔牙術藥劑（Potion of Greater Magic Fang +2）
Potion of Greater Magic Fang +3.MOD	OUTPUTNAME:+3高等魔牙術藥劑（Potion of Greater Magic Fang +3）
Potion of Greater Magic Fang +4.MOD	OUTPUTNAME:+4高等魔牙術藥劑（Potion of Greater Magic Fang +4）
Potion of Greater Magic Fang +5.MOD	OUTPUTNAME:+5高等魔牙術藥劑（Potion of Greater Magic Fang +5）
Potion of Haste.MOD	OUTPUTNAME:加速術藥劑（Potion of Haste）
Potion of Heroism.MOD	OUTPUTNAME:英雄氣概藥劑（Potion of Heroism）
Potion of Hide from Animals.MOD	OUTPUTNAME:動物無視術藥劑（Potion of Hide from Animals）
Potion of Hide from Undead.MOD	OUTPUTNAME:亡靈無視術藥劑（Potion of Hide from Undead）
Potion of Inflict Light Wounds.MOD	OUTPUTNAME:造成輕傷藥劑（Potion of Inflict Light Wounds）
Potion of Inflict Moderate Wounds.MOD	OUTPUTNAME:造成中度傷藥劑（Potion of Inflict Moderate Wounds）
Potion of Inflict Serious Wounds.MOD	OUTPUTNAME:造成重傷藥劑（Potion of Inflict Serious Wounds）
Potion of Invisibility.MOD	OUTPUTNAME:隱形術藥劑（Potion of Invisibility）
Potion of Jump.MOD	OUTPUTNAME:跳躍術藥劑（Potion of Jump）
Potion of Lesser Restoration.MOD	OUTPUTNAME:次等復原術藥劑（Potion of Lesser Restoration）
Potion of Levitate.MOD	OUTPUTNAME:浮空術藥劑（Potion of Levitate）
Potion of Mage Armor.MOD	OUTPUTNAME:法師護甲藥劑（Potion of Mage Armor）
Potion of Magic Fang.MOD	OUTPUTNAME:魔牙術藥劑（Potion of Magic Fang）
Potion of Misdirection.MOD	OUTPUTNAME:誤導術藥劑（Potion of Misdirection）
Potion of Neutralize Poison.MOD	OUTPUTNAME:中和毒性藥劑（Potion of Neutralize Poison）
Potion of Nondetection.MOD	OUTPUTNAME:迴避偵測藥劑（Potion of Nondetection）
Potion of Owl's Wisdom.MOD	OUTPUTNAME:梟之睿智藥劑（Potion of Owl's Wisdom）
Potion of Pass without Trace.MOD	OUTPUTNAME:行蹤無跡藥劑（Potion of Pass without Trace）
Potion of Protection from Arrows.MOD	OUTPUTNAME:防護箭矢藥劑（Potion of Protection from Arrows）
Potion of Protection from Chaos.MOD	OUTPUTNAME:防護混亂藥劑（Potion of Protection from Chaos）
Potion of Protection from Energy (Acid).MOD	OUTPUTNAME:防護能量傷害（強酸）藥劑（Potion of Protection from Energy (Acid)）
Potion of Protection from Energy (Cold).MOD	OUTPUTNAME:防護能量傷害（寒冷）藥劑（Potion of Protection from Energy (Cold)）
Potion of Protection from Energy (Electricity).MOD	OUTPUTNAME:防護能量傷害（閃電）藥劑（Potion of Protection from Energy (Electricity)）
Potion of Protection from Energy (Fire).MOD	OUTPUTNAME:防護能量傷害（火焰）藥劑（Potion of Protection from Energy (Fire)）
Potion of Protection from Energy (Sonic).MOD	OUTPUTNAME:防護能量傷害（音波）藥劑（Potion of Protection from Energy (Sonic)）
Potion of Protection from Evil.MOD	OUTPUTNAME:防護邪惡藥劑（Potion of Protection from Evil）
Potion of Protection from Good.MOD	OUTPUTNAME:防護善良藥劑（Potion of Protection from Good）
Potion of Protection from Law.MOD	OUTPUTNAME:防護秩序藥劑（Potion of Protection from Law）
Potion of Rage.MOD	OUTPUTNAME:狂暴術藥劑（Potion of Rage）
Potion of Reduce Person.MOD	OUTPUTNAME:縮小術藥劑（Potion of Reduce Person）
Potion of Remove Blindness/Deafness.MOD	OUTPUTNAME:移除目盲/耳聾藥劑（Potion of Remove Blindness/Deafness）
Potion of Remove Curse.MOD	OUTPUTNAME:移除詛咒藥劑（Potion of Remove Curse）
Potion of Remove Disease.MOD	OUTPUTNAME:移除疾病藥劑（Potion of Remove Disease）
Potion of Remove Fear.MOD	OUTPUTNAME:移除恐懼藥劑（Potion of Remove Fear）
Potion of Remove Paralysis.MOD	OUTPUTNAME:移除麻痺藥劑（Potion of Remove Paralysis）
Potion of Resist Energy 10 (Acid).MOD	OUTPUTNAME:抵抗能量傷害（強酸10）藥劑（Potion of Resist Energy 10 (Acid)）
Potion of Resist Energy 10 (Cold).MOD	OUTPUTNAME:抵抗能量傷害（寒冷10）藥劑（Potion of Resist Energy 10 (Cold)）
Potion of Resist Energy 10 (Electricity).MOD	OUTPUTNAME:抵抗能量傷害（閃電10）藥劑（Potion of Resist Energy 10 (Electricity)）
Potion of Resist Energy 10 (Fire).MOD	OUTPUTNAME:抵抗能量傷害（火焰10）藥劑（Potion of Resist Energy 10 (Fire)）
Potion of Resist Energy 10 (Sonic).MOD	OUTPUTNAME:抵抗能量傷害（音波10）藥劑（Potion of Resist Energy 10 (Sonic)）
Potion of Resist Energy 20 (Acid).MOD	OUTPUTNAME:抵抗能量傷害（強酸20）藥劑（Potion of Resist Energy 20 (Acid)）
Potion of Resist Energy 20 (Cold).MOD	OUTPUTNAME:抵抗能量傷害（寒冷20）藥劑（Potion of Resist Energy 20 (Cold)）
Potion of Resist Energy 20 (Electricity).MOD	OUTPUTNAME:抵抗能量傷害（閃電20）藥劑（Potion of Resist Energy 20 (Electricity)）
Potion of Resist Energy 20 (Fire).MOD	OUTPUTNAME:抵抗能量傷害（火焰20）藥劑（Potion of Resist Energy 20 (Fire)）
Potion of Resist Energy 20 (Sonic).MOD	OUTPUTNAME:抵抗能量傷害（音波20）藥劑（Potion of Resist Energy 20 (Sonic)）
Potion of Resist Energy 30 (Acid).MOD	OUTPUTNAME:抵抗能量傷害（強酸30）藥劑（Potion of Resist Energy 30 (Acid)）
Potion of Resist Energy 30 (Cold).MOD	OUTPUTNAME:抵抗能量傷害（寒冷30）藥劑（Potion of Resist Energy 30 (Cold)）
Potion of Resist Energy 30 (Electricity).MOD	OUTPUTNAME:抵抗能量傷害（閃電30）藥劑（Potion of Resist Energy 30 (Electricity)）
Potion of Resist Energy 30 (Fire).MOD	OUTPUTNAME:抵抗能量傷害（火焰30）藥劑（Potion of Resist Energy 30 (Fire)）
Potion of Resist Energy 30 (Sonic).MOD	OUTPUTNAME:抵抗能量傷害（音波30）藥劑（Potion of Resist Energy 30 (Sonic)）
Potion of Sanctuary.MOD	OUTPUTNAME:聖域術藥劑（Potion of Sanctuary）
Potion of Shield of Faith +2.MOD	OUTPUTNAME:+2虔誠護盾藥劑（Potion of Shield of Faith +2）
Potion of Shield of Faith +3.MOD	OUTPUTNAME:+3虔誠護盾藥劑（Potion of Shield of Faith +3）
Potion of Shield of Faith +4.MOD	OUTPUTNAME:+4虔誠護盾藥劑（Potion of Shield of Faith +4）
Potion of Shield of Faith +5.MOD	OUTPUTNAME:+5虔誠護盾藥劑（Potion of Shield of Faith +5）
Potion of Spider Climb.MOD	OUTPUTNAME:蛛行術藥劑（Potion of Spider Climb）
Potion of Tongues.MOD	OUTPUTNAME:巧言術藥劑（Potion of Tongues）
Potion of Undetectable Alignment.MOD	OUTPUTNAME:隱匿陣營藥劑（Potion of Undetectable Alignment）
Potion of Water Breathing.MOD	OUTPUTNAME:水中呼吸藥劑（Potion of Water Breathing）
Potion of Water Walk.MOD	OUTPUTNAME:水面行走藥劑（Potion of Water Walk）
