Ring of Animal Friendship.MOD	OUTPUTNAME:動物之友戒指 （Ring of Animal Friendship）	DESC:.CLEAR	DESC:動物之友戒指基本上會隨製造者的意願畫有動物形的圖案。以一個命令，戒指可以影響動物如同施放了『魅惑動物』法術，使動物將穿戴者如摯友一般對待。
Ring of Blinking.MOD	OUTPUTNAME:閃現戒指 （Ring of Blinking）
Ring of Chameleon Power.MOD	OUTPUTNAME:變色龍戒指 （Ring of Chameleon Power）
Ring of Climbing (Improved).MOD	OUTPUTNAME:精通攀爬戒指 （Ring of Climbing, Improved）
Ring of Climbing.MOD	OUTPUTNAME:攀爬戒指 （Ring of Climbing）
Ring of Counterspells.MOD	OUTPUTNAME:法術反制戒指 （Ring of Counterspells）
Ring of Djinni Calling.MOD	OUTPUTNAME:呼喚風巨靈戒指 （Ring of Djinni Calling）
Ring of Elemental Command (Air).MOD	OUTPUTNAME:元素命令戒指（風）（Ring of Elemental Command (Air)）
Ring of Elemental Command (Earth).MOD	OUTPUTNAME:元素命令戒指（土）（Ring of Elemental Command (Earth)）
Ring of Elemental Command (Fire).MOD	OUTPUTNAME:元素命令戒指（火）（Ring of Elemental Command (Fire)）
Ring of Elemental Command (Water).MOD	OUTPUTNAME:元素命令戒指（水）（Ring of Elemental Command (Water)）
Ring of Energy Resistance (Greater/Acid).MOD	OUTPUTNAME:高等抵抗能量傷害戒指（強酸）（Ring of Acid Energy Resistance, Greater）
Ring of Energy Resistance (Greater/Cold).MOD	OUTPUTNAME:高等抵抗能量傷害戒指（寒冷）（Ring of Cold Energy Resistance, Greater）
Ring of Energy Resistance (Greater/Electricity).MOD	OUTPUTNAME:高等抵抗能量傷害戒指（閃電）（Ring of Electricity Energy Resistance, Greater）
Ring of Energy Resistance (Greater/Fire).MOD	OUTPUTNAME:高等抵抗能量傷害戒指（火焰）（Ring of Fire Energy Resistance, Greater）
Ring of Energy Resistance (Greater/Sonic).MOD	OUTPUTNAME:高等抵抗能量傷害戒指（音波）（Ring of Sonic Energy Resistance, Greater）
Ring of Energy Resistance (Major/Acid).MOD	OUTPUTNAME:中等抵抗能量傷害戒指（強酸）（Ring of Acid Energy Resistance, Major）
Ring of Energy Resistance (Major/Cold).MOD	OUTPUTNAME:中等抵抗能量傷害戒指（寒冷）（Ring of Cold Energy Resistance, Major）
Ring of Energy Resistance (Major/Electricity).MOD	OUTPUTNAME:中等抵抗能量傷害戒指（閃電）（Ring of Electricity Energy Resistance, Major）
Ring of Energy Resistance (Major/Fire).MOD	OUTPUTNAME:中等抵抗能量傷害戒指（火焰）（Ring of Fire Energy Resistance, Major）
Ring of Energy Resistance (Major/Sonic).MOD	OUTPUTNAME:中等抵抗能量傷害戒指（音波）（Ring of Sonic Energy Resistance, Major）
Ring of Energy Resistance (Minor/Acid).MOD	OUTPUTNAME:低等抵抗能量傷害戒指（強酸）（Ring of Acid Energy Resistance, Minor）
Ring of Energy Resistance (Minor/Cold).MOD	OUTPUTNAME:低等抵抗能量傷害戒指（寒冷）（Ring of Cold Energy Resistance, Minor）
Ring of Energy Resistance (Minor/Electricity).MOD	OUTPUTNAME:低等抵抗能量傷害戒指（閃電）（Ring of Electricity Energy Resistance, Minor）
Ring of Energy Resistance (Minor/Fire).MOD	OUTPUTNAME:低等抵抗能量傷害戒指（火焰）（Ring of Fire Energy Resistance, Minor）
Ring of Energy Resistance (Minor/Sonic).MOD	OUTPUTNAME:低等抵抗能量傷害戒指（音波）（Ring of Sonic Energy Resistance, Minor）
Ring of Evasion.MOD	OUTPUTNAME:反射閃避戒指 （Ring of Evasion）
Ring of Feather Falling.MOD	OUTPUTNAME:羽落術戒指 （Ring of Feather Falling）
Ring of Force Shield.MOD	OUTPUTNAME:力場護盾戒指 （Ring of Force Shield）
Ring of Freedom of Movement.MOD	OUTPUTNAME:行動自如戒指 （Ring of Freedom of Movement）
Ring of Friend Shield.MOD	OUTPUTNAME:護衛同伴戒指 （Ring of Friend Shield）
Ring of Invisibility.MOD	OUTPUTNAME:隱形戒指 （Ring of Invisibility）
Ring of Jumping (Improved).MOD	OUTPUTNAME:精通跳躍戒指 （Ring of Jumping, Improved）
Ring of Jumping.MOD	OUTPUTNAME:跳躍戒指 （Ring of Jumping）
Ring of Mind Shielding.MOD	OUTPUTNAME:心靈護盾戒指 （Ring of Mind Shielding）
Ring of Protection +1.MOD	OUTPUTNAME:防護戒指+1 （Ring of Protection +1）
Ring of Protection +2.MOD	OUTPUTNAME:防護戒指+2 （Ring of Protection +2）
Ring of Protection +3.MOD	OUTPUTNAME:防護戒指+3 （Ring of Protection +3）
Ring of Protection +4.MOD	OUTPUTNAME:防護戒指+4 （Ring of Protection +4）
Ring of Protection +5.MOD	OUTPUTNAME:防護戒指+5 （Ring of Protection +5）
Ring of Regeneration.MOD	OUTPUTNAME:再生戒指 （Ring of Regeneration）
Ring of Shooting Stars.MOD	OUTPUTNAME:流星戒指 （Ring of Shooting Stars）
Ring of Spell Storing (Major).MOD	OUTPUTNAME:高等儲法戒指 （Ring of Spell Storing, Major）
