Decoy Ring.MOD	OUTPUTNAME:誘餌戒指 （Decoy Ring）
Ring of Arcane Mastery.MOD	OUTPUTNAME:奧術精通戒指 （Ring of Arcane Mastery）
Ring of Continuation.MOD	OUTPUTNAME:延續戒指 （Ring of Continuation）
Ring of Curing.MOD	OUTPUTNAME:治癒戒指 （Ring of Curing）
Ring of Ectoplasmic Invigoration.MOD	OUTPUTNAME:外質滋補戒指 （Ring of Ectoplasmic Invigoration）
Ring of Energy Shroud (Acid).MOD	OUTPUTNAME:能量包裹戒指（強酸）（Ring of Energy Shroud (Acid)）
Ring of Energy Shroud (Cold).MOD	OUTPUTNAME:能量包裹戒指（寒冷）（Ring of Energy Shroud (Cold)）
Ring of Energy Shroud (Electricity).MOD	OUTPUTNAME:能量包裹戒指（閃電）（Ring of Energy Shroud (Electricity)）
Ring of Energy Shroud (Fire).MOD	OUTPUTNAME:能量包裹戒指（火焰）（Ring of Energy Shroud (Fire)）
Ring of Energy Shroud (Sonic).MOD	OUTPUTNAME:能量包裹戒指（音波）（Ring of Energy Shroud (Sonic)）
Ring of Foe Focus.MOD	OUTPUTNAME:集中對敵戒指 （Ring of Foe Focus）
Ring of Grit Mastery.MOD	OUTPUTNAME:勇毅精通戒指 （Ring of Grit Mastery）
Ring of Inner Fortitude (Greater).MOD	OUTPUTNAME:高等內在強韌戒指 （Ring of Inner Fortitude, greater）
Ring of Inner Fortitude (Major).MOD	OUTPUTNAME:中等內在強韌戒指 （Ring of Inner Fortitude, major）
Ring of Inner Fortitude (Minor).MOD	OUTPUTNAME:低等內在強韌戒指 （Ring of Inner Fortitude, minor）
Ring of Ki Mastery.MOD	OUTPUTNAME:真氣精通戒指 （Ring of Ki Mastery）
Ring of Return.MOD	OUTPUTNAME:回歸戒指 （Ring of Return）
Ring of Sacred Mistletoe.MOD	OUTPUTNAME:聖潔槲寄生戒指 （Ring of Sacred Mistletoe）
Ring of Spell Knowledge I.MOD	OUTPUTNAME:一型法術知識戒指 （Ring of Spell Knowledge I）
Ring of Spell Knowledge II.MOD	OUTPUTNAME:二型法術知識戒指 （Ring of Spell Knowledge II）
Ring of Spell Knowledge III.MOD	OUTPUTNAME:三型法術知識戒指 （Ring of Spell Knowledge III）
Ring of Spell Knowledge IV.MOD	OUTPUTNAME:四型法術知識戒指 （Ring of Spell Knowledge IV）
Ring of Strength Sapping.MOD	OUTPUTNAME:削力戒指 （Ring of Strength Sapping）
Ring of Tactical Precision.MOD	OUTPUTNAME:精準戰術戒指 （Ring of Tactical Precision）
Ring of the Ecclesiarch.MOD	OUTPUTNAME:神官之印 （Ring of the Ecclesiarch）
Ring of the Grasping Grave.MOD	OUTPUTNAME:斷死戒指 （Ring of the Grasping Grave）
Ring of the Sea Strider.MOD	OUTPUTNAME:海行戒指 （Ring of the Sea Strider）
Ring of the Troglodyte.MOD	OUTPUTNAME:怪臭戒指 （Ring of the Troglodyte）
Ring of Transposition.MOD	OUTPUTNAME:轉移戒指 （Ring of Transposition）
Scholar's Ring.MOD	OUTPUTNAME:學者戒指 （Scholar's Ring）
Spiritualist Rings.MOD	OUTPUTNAME:通靈戒指 （Spiritualist Rings）
Steelhand Circle.MOD	OUTPUTNAME:鐵手環 （Steelhand Circle）
