Scroll (Acid Splash).MOD	OUTPUTNAME:酸液飛濺卷軸（Scroll (Acid Splash)）
Scroll (Arcane Mark).MOD	OUTPUTNAME:秘法印記卷軸（Scroll (Arcane Mark)）
Scroll (Bleed/Arcane).MOD	OUTPUTNAME:出血術卷軸（Scroll (Bleed/Arcane)）
Scroll (Dancing Lights).MOD	OUTPUTNAME:舞光術卷軸（Scroll (Dancing Lights)）
Scroll (Daze).MOD	OUTPUTNAME:暈眩術卷軸（Scroll (Daze)）
Scroll (Detect Magic/Arcane).MOD	OUTPUTNAME:偵測魔法卷軸（Scroll (Detect Magic/Arcane)）
Scroll (Detect Poison/Arcane).MOD	OUTPUTNAME:偵測毒性卷軸（Scroll (Detect Poison/Arcane)）
Scroll (Disrupt Undead).MOD	OUTPUTNAME:打擊死靈卷軸（Scroll (Disrupt Undead)）
Scroll (Flare).MOD	OUTPUTNAME:閃光術卷軸（Scroll (Flare)）
Scroll (Ghost Sound).MOD	OUTPUTNAME:幻音術卷軸（Scroll (Ghost Sound)）
Scroll (Light/Arcane).MOD	OUTPUTNAME:光亮術卷軸（Scroll (Light/Arcane)）
Scroll (Mage Hand).MOD	OUTPUTNAME:法師之手卷軸（Scroll (Mage Hand)）
Scroll (Mending/Arcane).MOD	OUTPUTNAME:修復術卷軸（Scroll (Mending/Arcane)）
Scroll (Message).MOD	OUTPUTNAME:傳訊術卷軸（Scroll (Message)）
Scroll (Open/Close).MOD	OUTPUTNAME:開關術卷軸（Scroll (Open/Close)）
Scroll (Prestidigitation).MOD	OUTPUTNAME:魔法伎倆卷軸（Scroll (Prestidigitation)）
Scroll (Ray of Frost).MOD	OUTPUTNAME:冰凍射線卷軸（Scroll (Ray of Frost)）
Scroll (Read Magic/Arcane).MOD	OUTPUTNAME:閱讀魔法卷軸（Scroll (Read Magic/Arcane)）
Scroll (Resistance/Arcane).MOD	OUTPUTNAME:提升抗力卷軸（Scroll (Resistance/Arcane)）
Scroll (Touch of Fatigue).MOD	OUTPUTNAME:疲乏之觸卷軸（Scroll (Touch of Fatigue)）
Scroll (Alarm).MOD	OUTPUTNAME:魔法警報卷軸（Scroll (Alarm)）
Scroll (Burning Hands).MOD	OUTPUTNAME:燃燒之手卷軸（Scroll (Burning Hands)）
Scroll (Cause Fear/Arcane).MOD	OUTPUTNAME:驚恐術卷軸（Scroll (Cause Fear/Arcane)）
Scroll (Charm Person).MOD	OUTPUTNAME:魅惑人類卷軸（Scroll (Charm Person)）
Scroll (Chill Touch).MOD	OUTPUTNAME:寒冷之觸卷軸（Scroll (Chill Touch)）
Scroll (Color Spray).MOD	OUTPUTNAME:七彩噴射卷軸（Scroll (Color Spray)）
Scroll (Comprehend Languages/Arcane).MOD	OUTPUTNAME:通曉語言卷軸（Scroll (Comprehend Languages/Arcane)）
Scroll (Detect Secret Doors).MOD	OUTPUTNAME:偵測密門卷軸（Scroll (Detect Secret Doors)）
Scroll (Detect Undead/Arcane).MOD	OUTPUTNAME:偵測死靈卷軸（Scroll (Detect Undead/Arcane)）
Scroll (Disguise Self).MOD	OUTPUTNAME:易容術卷軸（Scroll (Disguise Self)）
Scroll (Endure Elements/Arcane).MOD	OUTPUTNAME:忍受環境卷軸（Scroll (Endure Elements/Arcane)）
Scroll (Enlarge Person).MOD	OUTPUTNAME:變巨術卷軸（Scroll (Enlarge Person)）
Scroll (Erase).MOD	OUTPUTNAME:抹消術卷軸（Scroll (Erase)）
Scroll (Expeditious Retreat).MOD	OUTPUTNAME:腳底抹油卷軸（Scroll (Expeditious Retreat)）
Scroll (Feather Fall).MOD	OUTPUTNAME:羽落術卷軸（Scroll (Feather Fall)）
Scroll (Floating Disk).MOD	OUTPUTNAME:浮碟術卷軸（Scroll (Floating Disk)）
Scroll (Grease).MOD	OUTPUTNAME:油膩術卷軸（Scroll (Grease)）
Scroll (Hold Portal).MOD	OUTPUTNAME:封門術卷軸（Scroll (Hold Portal)）
Scroll (Hypnotism).MOD	OUTPUTNAME:催眠術卷軸（Scroll (Hypnotism)）
Scroll (Identify).MOD	OUTPUTNAME:鑒定術卷軸（Scroll (Identify)）
Scroll (Jump).MOD	OUTPUTNAME:跳躍術卷軸（Scroll (Jump)）
Scroll (Mage Armor).MOD	OUTPUTNAME:法師護甲卷軸（Scroll (Mage Armor)）
Scroll (Magic Missile).MOD	OUTPUTNAME:魔法飛彈卷軸（Scroll (Magic Missile)）
Scroll (Magic Weapon/Arcane).MOD	OUTPUTNAME:魔化武器卷軸（Scroll (Magic Weapon/Arcane)）
Scroll (Mount).MOD	OUTPUTNAME:坐騎術卷軸（Scroll (Mount)）
Scroll (Obscuring Mist/Arcane).MOD	OUTPUTNAME:隱霧術卷軸（Scroll (Obscuring Mist/Arcane)）
Scroll (Protection from Chaos/Arcane).MOD	OUTPUTNAME:防護混亂卷軸（Scroll (Protection from Chaos/Arcane)）
Scroll (Protection from Evil/Arcane).MOD	OUTPUTNAME:防護邪惡卷軸（Scroll (Protection from Evil/Arcane)）
Scroll (Protection from Good/Arcane).MOD	OUTPUTNAME:防護善良卷軸（Scroll (Protection from Good/Arcane)）
Scroll (Protection from Law/Arcane).MOD	OUTPUTNAME:防護秩序卷軸（Scroll (Protection from Law/Arcane)）
Scroll (Ray of Enfeeblement).MOD	OUTPUTNAME:衰弱射線卷軸（Scroll (Ray of Enfeeblement)）
Scroll (Reduce Person).MOD	OUTPUTNAME:縮小術卷軸（Scroll (Reduce Person)）
Scroll (Shield).MOD	OUTPUTNAME:護盾術卷軸（Scroll (Shield)）
Scroll (Shocking Grasp).MOD	OUTPUTNAME:電爪卷軸（Scroll (Shocking Grasp)）
Scroll (Silent Image).MOD	OUTPUTNAME:無聲幻影卷軸（Scroll (Silent Image)）
Scroll (Sleep).MOD	OUTPUTNAME:睡眠術卷軸（Scroll (Sleep)）
Scroll (Summon Monster I/Arcane).MOD	OUTPUTNAME:召喚怪物 I卷軸（Scroll (Summon Monster I/Arcane)）
