Staff of Bolstering.MOD	OUTPUTNAME:支援法杖 （Staff of Bolstering）
Staff of Cackling Wrath.MOD	OUTPUTNAME:怒號法杖 （Staff of Cackling Wrath）
Staff of Hoarding.MOD	OUTPUTNAME:積蓄法杖 （Staff of Hoarding）
Staff of Journeys.MOD	OUTPUTNAME:旅途法杖 （Staff of Journeys）
Staff of Many Rays.MOD	OUTPUTNAME:射線法杖 （Staff of Many Rays）
Staff of Obstacles.MOD	OUTPUTNAME:障礙法杖 （Staff of Obstacles）
Staff of Performance.MOD	OUTPUTNAME:表演法杖 （Staff of Performance）
Staff of Revelations.MOD	OUTPUTNAME:啟示法杖 （Staff of Revelations）
Staff of Rigor.MOD	OUTPUTNAME:嚴酷法杖 （Staff of Rigor）
Staff of Shrieking.MOD	OUTPUTNAME:尖叫法杖 （Staff of Shrieking）
Staff of Slumber.MOD	OUTPUTNAME:沉睡法杖 （Staff of Slumber）
Staff of Souls.MOD	OUTPUTNAME:靈魂法杖 （Staff of Souls）
Staff of Stealth.MOD	OUTPUTNAME:潛入法杖 （Staff of Stealth）
Staff of Toxins.MOD	OUTPUTNAME:毒素法杖 （Staff of Toxins）
Staff of Traps.MOD	OUTPUTNAME:陷阱法杖 （Staff of Traps）
Staff of Vision.MOD	OUTPUTNAME:靈視法杖 （Staff of Vision）
Staff of Weather.MOD	OUTPUTNAME:氣象法杖 （Staff of Weather）
