Staff of Abjuration.MOD	OUTPUTNAME:防護法杖 （Staff of Abjuration）	DESC:.CLEAR	DESC:通常用古老的櫟樹、灰木、紅杉等巨樹的樹心製成。可以用它施放下列法術：『解除魔法 (Dispel magic) (1發)』、『抵抗能量傷害 (Resist energy) (1發)』、『護盾術 (Shield) (1發)』、『驅逐術 (Dismissal) (2發)』、『次等法術無效結界 (Lesser globe of invulnerability) (2發)』、『排斥術 (Repulsion) (3發)』
Staff of Charming.MOD	OUTPUTNAME:魅惑法杖 （Staff of Charming）
Staff of Conjuration.MOD	OUTPUTNAME:咒法法杖 （Staff of Conjuration）
Staff of Defense.MOD	OUTPUTNAME:防禦法杖 （Staff of Defense）
Staff of Divination.MOD	OUTPUTNAME:預言法杖 （Staff of Divination）
Staff of Earth and Stone.MOD	OUTPUTNAME:土石法杖 （Staff of Earth and Stone）
Staff of Enchantment.MOD	OUTPUTNAME:惑控法杖 （Staff of Enchantment）
Staff of Evocation.MOD	OUTPUTNAME:塑能法杖 （Staff of Evocation）
Staff of Fire.MOD	OUTPUTNAME:火炎法杖 （Staff of Fire）
Staff of Frost.MOD	OUTPUTNAME:寒霜法杖 （Staff of Frost）
Staff of Healing.MOD	OUTPUTNAME:治癒法杖 （Staff of Healing）
Staff of Illumination.MOD	OUTPUTNAME:光耀法杖 （Staff of Illumination）
Staff of Illusion.MOD	OUTPUTNAME:幻術法杖 （Staff of Illusion）
Staff of Life.MOD	OUTPUTNAME:生命法杖 （Staff of Life）
Staff of Necromancy.MOD	OUTPUTNAME:死靈法杖 （Staff of Necromancy）
Staff of Passage.MOD	OUTPUTNAME:通路法杖 （Staff of Passage）
Staff of Power.MOD	OUTPUTNAME:力量法杖 （Staff of Power）
Staff of Size Alteration.MOD	OUTPUTNAME:改變體型法杖 （Staff of Size Alteration）
Staff of Swarming Insects.MOD	OUTPUTNAME:群蟲法杖 （Staff of Swarming Insects）
Staff of The Woodlands.MOD	OUTPUTNAME:森林法杖 （Staff of The Woodlands）
Staff of Transmutation.MOD	OUTPUTNAME:變化法杖 （Staff of Transmutation）
