Animate Staff.MOD	OUTPUTNAME:活化法杖 （Animate Staff）
Chaotic Staff.MOD	OUTPUTNAME:混沌法杖 （Chaotic Staff）
Dragon Staff.MOD	OUTPUTNAME:巨龍法杖 （Dragon Staff）
Heretic's Bane.MOD	OUTPUTNAME:異教徒之殤 （Heretic's Bane）
Holy Staff.MOD	OUTPUTNAME:神聖法杖 （Holy Staff）
Lawful Staff.MOD	OUTPUTNAME:秩序法杖 （Lawful Staff）
Musical Staff.MOD	OUTPUTNAME:音聲法杖 （Musical Staff）
Staff of Accompaniment.MOD	OUTPUTNAME:伴奏法杖 （Staff of Accompaniment）
Staff of acid.MOD	OUTPUTNAME:酸液法杖 （Staff of acid）
Staff of Aspects.MOD	OUTPUTNAME:四象法杖 （Staff of Aspects）
Staff of Authority.MOD	OUTPUTNAME:權柄法杖 （Staff of Authority）
Staff of Belittling.MOD	OUTPUTNAME:微縮法杖 （Staff of Belittling）
Staff of Blessed Relief.MOD	OUTPUTNAME:祝福之杖 （Staff of Blessed Relief）
Staff of Courage.MOD	OUTPUTNAME:勇氣法杖 （Staff of Courage）
Staff of Curses.MOD	OUTPUTNAME:詛咒法杖 （Staff of Curses）
Staff of Dark Flame.MOD	OUTPUTNAME:暗炎法杖 （Staff of Darkflame）
Staff of Eidolons.MOD	OUTPUTNAME:幻靈法杖 （Staff of Eidolons）
Staff of Electricity.MOD	OUTPUTNAME:電擊法杖 （Staff of Electricity）
Staff of Feast and Famine.MOD	OUTPUTNAME:饗宴與饑荒法杖 （Staff of Feast and Famine）
Staff of Heaven and Earth.MOD	OUTPUTNAME:天地法杖 （Staff of Heaven and Earth）
Staff of Hungry Shadows.MOD	OUTPUTNAME:飢渴暗影法杖 （Staff of Hungry Shadows）
Staff of Minor Arcana.MOD	OUTPUTNAME:弱效奧術法杖 （Staff of Minor Arcana）
Staff of Mithral Might.MOD	OUTPUTNAME:秘銀之力法杖 （Staff of Mithral Might）
Staff of One Hundred Hands.MOD	OUTPUTNAME:百手法杖 （Staff of One Hundred Hands）
Staff of Radiance.MOD	OUTPUTNAME:輻光法杖 （Staff of Radiance）
Staff of Speaking.MOD	OUTPUTNAME:言靈法杖 （Staff of Speaking）
Staff of Spiders.MOD	OUTPUTNAME:蜘蛛法杖 （Staff of Spiders）
Staff of the Avenger.MOD	OUTPUTNAME:復仇法杖 （Staff of the Avenger）
Staff of The Hierophant.MOD	OUTPUTNAME:大祭司法杖 （Staff of The Hierophant）
Staff of the Master.MOD	OUTPUTNAME:大師法杖 （Staff of the Master）
Staff of the Planes.MOD	OUTPUTNAME:位面法杖 （Staff of Planes）
Staff of the Scout.MOD	OUTPUTNAME:偵查法杖 （Staff of Scout）
Staff of Travel.MOD	OUTPUTNAME:旅行法杖 （Staff of Travel）
Staff of Understanding.MOD	OUTPUTNAME:理解法杖 （Staff of Understanding）
Unholy Staff.MOD	OUTPUTNAME:不潔法杖 （Unholy Staff）
Staff of Tricks.MOD	OUTPUTNAME:詭計法杖 （Staff of Tricks）
