Wand of Acid Splash.MOD	OUTPUTNAME:酸液飛濺魔杖（Wand of Acid Splash）
Wand of Arcane Mark.MOD	OUTPUTNAME:秘法印記魔杖（Wand of Arcane Mark）
Wand of Bleed.MOD	OUTPUTNAME:出血術魔杖（Wand of Bleed）
Wand of Create Water.MOD	OUTPUTNAME:造水術魔杖（Wand of Create Water）
Wand of Dancing Lights.MOD	OUTPUTNAME:舞光術魔杖（Wand of Dancing Lights）
Wand of Daze.MOD	OUTPUTNAME:暈眩術魔杖（Wand of Daze）
Wand of Detect Magic.MOD	OUTPUTNAME:偵測魔法魔杖（Wand of Detect Magic）
Wand of Detect Poison.MOD	OUTPUTNAME:偵測毒性魔杖（Wand of Detect Poison）
Wand of Disrupt Undead.MOD	OUTPUTNAME:打擊死靈魔杖（Wand of Disrupt Undead）
Wand of Flare.MOD	OUTPUTNAME:閃光術魔杖（Wand of Flare）
Wand of Ghost Sound.MOD	OUTPUTNAME:幻音術魔杖（Wand of Ghost Sound）
Wand of Guidance.MOD	OUTPUTNAME:神導術魔杖（Wand of Guidance）
Wand of Know Direction.MOD	OUTPUTNAME:指北術魔杖（Wand of Know Direction）
Wand of Light.MOD	OUTPUTNAME:光亮術魔杖（Wand of Light）
Wand of Lullaby.MOD	OUTPUTNAME:催眠曲魔杖（Wand of Lullaby）
Wand of Mage Hand.MOD	OUTPUTNAME:法師之手魔杖（Wand of Mage Hand）
Wand of Mending.MOD	OUTPUTNAME:修復術魔杖（Wand of Mending）
Wand of Message.MOD	OUTPUTNAME:傳訊術魔杖（Wand of Message）
Wand of Open/Close.MOD	OUTPUTNAME:開關術魔杖（Wand of Open/Close）
Wand of Prestidigitation.MOD	OUTPUTNAME:魔法伎倆魔杖（Wand of Prestidigitation）
Wand of Purify Food and Drink.MOD	OUTPUTNAME:淨化食糧魔杖（Wand of Purify Food and Drink）
Wand of Ray of Frost.MOD	OUTPUTNAME:冰凍射線魔杖（Wand of Ray of Frost）
Wand of Read Magic.MOD	OUTPUTNAME:閱讀魔法魔杖（Wand of Read Magic）
Wand of Resistance.MOD	OUTPUTNAME:提升抗力魔杖（Wand of Resistance）
Wand of Stabilize.MOD	OUTPUTNAME:穩定傷勢魔杖（Wand of Stabilize）
Wand of Summon Instrument.MOD	OUTPUTNAME:召喚樂器魔杖（Wand of Summon Instrument）
Wand of Touch of Fatigue.MOD	OUTPUTNAME:疲乏之觸魔杖（Wand of Touch of Fatigue）
Wand of Virtue.MOD	OUTPUTNAME:恩賜魔杖（Wand of Virtue）
Wand of Alarm.MOD	OUTPUTNAME:魔法警報魔杖（Wand of Alarm）
Wand of Bane.MOD	OUTPUTNAME:絕望術魔杖（Wand of Bane）
Wand of Bless.MOD	OUTPUTNAME:祝福術魔杖（Wand of Bless）
Wand of Bless Water.MOD	OUTPUTNAME:祝福聖水魔杖（Wand of Bless Water）
Wand of Bless Weapon.MOD	OUTPUTNAME:祝福武器魔杖（Wand of Bless Weapon）
Wand of Burning Hands.MOD	OUTPUTNAME:燃燒之手魔杖（Wand of Burning Hands）
Wand of Calm Animals.MOD	OUTPUTNAME:安撫動物魔杖（Wand of Calm Animals）
Wand of Cause Fear.MOD	OUTPUTNAME:驚恐術魔杖（Wand of Cause Fear）
Wand of Charm Animal.MOD	OUTPUTNAME:魅惑動物魔杖（Wand of Charm Animal）
Wand of Charm Person.MOD	OUTPUTNAME:魅惑人類魔杖（Wand of Charm Person）
Wand of Chill Touch.MOD	OUTPUTNAME:寒冷之觸魔杖（Wand of Chill Touch）
Wand of Color Spray.MOD	OUTPUTNAME:七彩噴射魔杖（Wand of Color Spray）
Wand of Command.MOD	OUTPUTNAME:命令術魔杖（Wand of Command）
Wand of Comprehend Languages.MOD	OUTPUTNAME:通曉語言魔杖（Wand of Comprehend Languages）
Wand of Confusion (Lesser).MOD	OUTPUTNAME:次等困惑術魔杖（Wand of Confusion (Lesser)）
Wand of Cure Light Wounds.MOD	OUTPUTNAME:治療輕傷魔杖（Wand of Cure Light Wounds）
Wand of Curse Water.MOD	OUTPUTNAME:詛咒邪水魔杖（Wand of Curse Water）
Wand of Deathwatch.MOD	OUTPUTNAME:觀命術魔杖（Wand of Deathwatch）
Wand of Detect Chaos.MOD	OUTPUTNAME:偵測混亂魔杖（Wand of Detect Chaos）
Wand of Detect Evil.MOD	OUTPUTNAME:偵測邪惡魔杖（Wand of Detect Evil）
Wand of Detect Good.MOD	OUTPUTNAME:偵測善良魔杖（Wand of Detect Good）
Wand of Detect Law.MOD	OUTPUTNAME:偵測秩序魔杖（Wand of Detect Law）
Wand of Detect Secret Doors.MOD	OUTPUTNAME:偵測密門魔杖（Wand of Detect Secret Doors）
