# Melee Weapon
ADVANCING.MOD	OUTPUTNAME:推進 （Advancing）
ANCHORING.MOD	OUTPUTNAME:定身 （Anchoring）
BENEVOLENT.MOD	OUTPUTNAME:助力 （Benevolent）
CALLED.MOD	OUTPUTNAME:呼回 （Called）
COUNTERING.MOD	OUTPUTNAME:反制 （Countering）
COURAGEOUS.MOD	OUTPUTNAME:英勇 （Courageous）
DEFIANT.MOD	OUTPUTNAME:勇猛 （Defiant）
DISPELLING.MOD	OUTPUTNAME:破法 （Dispelling）
DISPELLING_BRST.MOD	OUTPUTNAME:滅法 （Dispelling Burst）
GLMRD_W.MOD	OUTPUTNAME:幻化 （Glamered）
GLORIOUS.MOD	OUTPUTNAME:榮耀 （Glorious）
GROUNDING.MOD	OUTPUTNAME:接地 （Grounding）
GUARDIAN.MOD	OUTPUTNAME:守護 （Guardian）
HEARTSEEKER.MOD	OUTPUTNAME:覓心 （Heartseeker）
IMPACT.MOD	OUTPUTNAME:衝擊 （Impact）
IMPERVIOUS.MOD	OUTPUTNAME:堅固 （Impervious）
INVIGORATING.MOD	OUTPUTNAME:興奮 （Invigorating）
KI_INTENS.MOD	OUTPUTNAME:強氣 （Ki Intensifying）
LIFESURGE.MOD	OUTPUTNAME:命潮 （Lifesurge）
LIMNING.MOD	OUTPUTNAME:妖火 （Limning）
MIMETIC.MOD	OUTPUTNAME:模仿 （Mimetic）
NEGATING.MOD	OUTPUTNAME:否決 （Negating）
NEUTRALZG.MOD	OUTPUTNAME:中和 （Neutralizing）
NULLIFYING.MOD	OUTPUTNAME:抵消 （Nullifying）
OMINOUS.MOD	OUTPUTNAME:不祥 （Ominous）
PHASE_LOCK.MOD	OUTPUTNAME:閉鎖 （Phase Locking）
PLANAR.MOD	OUTPUTNAME:位面 （Planar）
QUENCHING.MOD	OUTPUTNAME:冷卻 （Quenching）
REPOS.MOD	OUTPUTNAME:移位 （Repositioning）
SEABORNE.MOD	OUTPUTNAME:海靈 （Seaborne）
SPELLSTEAL.MOD	OUTPUTNAME:竊法 （Spellstealing）
STALKING.MOD	OUTPUTNAME:圍獵 （Stalking）
THAWING.MOD	OUTPUTNAME:融化 （Thawing）
VALIANT.MOD	OUTPUTNAME:勇氣 （Valiant）

# Ranged Weapon
ADAPTIVE.MOD	OUTPUTNAME:適應 (Adaptive)
ANCHORING.MOD	OUTPUTNAME:定身 (Anchoring)
CALLED.MOD	OUTPUTNAME:呼回 (Called)
CONVERSING.MOD	OUTPUTNAME:存留 (Conserving)
DESIG_GTR.MOD	OUTPUTNAME:高等標記 (Designating, Greater)
DESIG_LSR.MOD	OUTPUTNAME:次等標記 (Designating, Lesser)
ENDLESS_AMMO.MOD	OUTPUTNAME:無盡 (Endless Ammunition)
GLMRD_W.MOD	OUTPUTNAME:幻化 (Glamered)
IMPERVIOUS.MOD	OUTPUTNAME:堅固 (Impervious)
LIMNING.MOD	OUTPUTNAME:妖火 (Limning)
NIMBLE_SHOT.MOD	OUTPUTNAME:巧射 (Nimble Shot)
PHASE_LOCK.MOD	OUTPUTNAME:閉鎖 (Phase Locking)
PLANAR.MOD	OUTPUTNAME:位面 (Planar)
SECOND_CHANCE.MOD	OUTPUTNAME:二重 (Second Chance)
STALKING.MOD	OUTPUTNAME:圍獵 (Stalking)

# Ammo
CNNING.MOD	OUTPUTNAME:狡詐 (Cunning)
CONDUCTVE.MOD	OUTPUTNAME:傳導 (Conductive)
CRRSVE.MOD	OUTPUTNAME:酸蝕 (Corrosive)
CRRSVE_BRST_R.MOD	OUTPUTNAME:酸爆 (Corrosive Burst)
DESIG_GTR.MOD	OUTPUTNAME:高等標記 (Designating, Greater)
DESIG_LSR.MOD	OUTPUTNAME:次等標記 (Designating, Lesser)
LIMNING.MOD	OUTPUTNAME:妖火 (Limning)
PHASE_LOCK.MOD	OUTPUTNAME:閉鎖 (Phase Locking)
PLANAR.MOD	OUTPUTNAME:位面 (Planar)
