Belt of Dwarvenkind.MOD	OUTPUTNAME:矮人腰帶（BELT OF DWARVENKIND）
Belt of Giant Strength +2.MOD	OUTPUTNAME:+2巨力腰帶（BELT OF GIANT STRENGTH）
Belt of Giant Strength +4.MOD	OUTPUTNAME:+4巨力腰帶（BELT OF GIANT STRENGTH）
Belt of Giant Strength +6.MOD	OUTPUTNAME:+6巨力腰帶（BELT OF GIANT STRENGTH）
Belt of Incredible Dexterity +2.MOD	OUTPUTNAME:+2敏捷腰帶（BELT OF INCREDIBLE DEXTERITY）
Belt of Incredible Dexterity +4.MOD	OUTPUTNAME:+4敏捷腰帶（BELT OF INCREDIBLE DEXTERITY）
Belt of Incredible Dexterity +6.MOD	OUTPUTNAME:+6敏捷腰帶（BELT OF INCREDIBLE DEXTERITY）
Belt of Mighty Constitution +2.MOD	OUTPUTNAME:+2健體腰帶（BELT OF MIGHTY CONSTITUTION）
Belt of Mighty Constitution +4.MOD	OUTPUTNAME:+4健體腰帶（BELT OF MIGHTY CONSTITUTION）
Belt of Mighty Constitution +6.MOD	OUTPUTNAME:+6健體腰帶（BELT OF MIGHTY CONSTITUTION）
Belt of Physical Might (STR/DEX) +2.MOD	OUTPUTNAME:+2體能腰帶（力量/敏捷）（BELT OF PHYSICAL MIGHT (STR/DEX)）
Belt of Physical Might (STR/DEX) +4.MOD	OUTPUTNAME:+4體能腰帶（力量/敏捷）（BELT OF PHYSICAL MIGHT (STR/DEX)）
Belt of Physical Might (STR/DEX) +6.MOD	OUTPUTNAME:+6體能腰帶（力量/敏捷）（BELT OF PHYSICAL MIGHT (STR/DEX)）
Belt of Physical Might (STR/CON) +2.MOD	OUTPUTNAME:+2體能腰帶（力量/體質）（BELT OF PHYSICAL MIGHT (STR/CON)）
Belt of Physical Might (STR/CON) +4.MOD	OUTPUTNAME:+4體能腰帶（力量/體質）（BELT OF PHYSICAL MIGHT (STR/CON)）
Belt of Physical Might (STR/CON) +6.MOD	OUTPUTNAME:+6體能腰帶（力量/體質）（BELT OF PHYSICAL MIGHT (STR/CON)）
Belt of Physical Might (DEX/CON) +2.MOD	OUTPUTNAME:+2體能腰帶（敏捷/體質）（BELT OF PHYSICAL MIGHT (DEX/CON)）
Belt of Physical Might (DEX/CON) +4.MOD	OUTPUTNAME:+4體能腰帶（敏捷/體質）（BELT OF PHYSICAL MIGHT (DEX/CON)）
Belt of Physical Might (DEX/CON) +6.MOD	OUTPUTNAME:+6體能腰帶（敏捷/體質）（BELT OF PHYSICAL MIGHT (DEX/CON)）
Belt of Physical Perfection +2.MOD	OUTPUTNAME:+2超凡體能腰帶（BELT OF PHYSICAL PERFECTION）
Belt of Physical Perfection +4.MOD	OUTPUTNAME:+4超凡體能腰帶（BELT OF PHYSICAL PERFECTION）
Belt of Physical Perfection +6.MOD	OUTPUTNAME:+6超凡體能腰帶（BELT OF PHYSICAL PERFECTION）
