Anaconda's Coils.MOD	OUTPUTNAME:蟒蛇纏腰（ANACONDA'S COILS）
Aquatic Cummerbund.MOD	OUTPUTNAME:水性腹帶（AQUATIC CUMMERBUND）
Belt of Equilibrium.MOD	OUTPUTNAME:平靜腰帶（BELT OF EQUILIBRIUM）
Belt of Fallen Heroes.MOD	OUTPUTNAME:沉淪英雄腰帶（BELT OF FALLEN HEROES）
Belt of Foraging.MOD	OUTPUTNAME:求生腰帶（BELT OF FORAGING）
Belt of Mighty Hurling (Greater).MOD	OUTPUTNAME:強效猛力投擲腰帶（BELT OF MIGHTY HURLING, GREATER）
Belt of Mighty Hurling (Lesser).MOD	OUTPUTNAME:弱效猛力投擲腰帶（BELT OF MIGHTY HURLING, LESSER）
Belt of Stoneskin.MOD	OUTPUTNAME:石膚腰帶（BELT OF STONESKIN）
Belt of Teeth.MOD	OUTPUTNAME:牙之腰帶（BELT OF TEETH）
Belt of the Weasel.MOD	OUTPUTNAME:黃鼠狼腰帶（BELT OF THE WEASEL）
Belt of Thunderous Charging.MOD	OUTPUTNAME:雷霆衝鋒腰帶（BELT OF THUNDEROUS CHARGING）
Belt of Tumbling.MOD	OUTPUTNAME:翻滾腰帶（BELT OF TUMBLING）
Beneficial Bandolier.MOD	OUTPUTNAME:隨心子彈帶（BENEFICIAL BANDOLIER）
Bladed Belt.MOD	OUTPUTNAME:束劍腰帶（BLADED BELT）
Blinkback Belt.MOD	OUTPUTNAME:閃回腰帶（BLINKBACK BELT）
Cord of Stubborn Resolve.MOD	OUTPUTNAME:堅定決心綁腰繩（CORD OF STUBBORN RESOLVE）
Elemental Earth Belt.MOD	OUTPUTNAME:地元素腰帶（ELEMENTAL EARTH BELT）
Equestrian Belt.MOD	OUTPUTNAME:馬術腰帶（EQUESTRIAN BELT）
Gorgon Belt.MOD	OUTPUTNAME:蛇發女妖腰帶（GORGON BELT）
Heavyload Belt.MOD	OUTPUTNAME:重負腰帶（HEAVYLOAD BELT）
Merform Belt.MOD	OUTPUTNAME:人魚腰帶（MERFORM BELT）
Meridian Belt.MOD	OUTPUTNAME:四環腰帶（MERIDIAN BELT）
Minotaur Belt.MOD	OUTPUTNAME:牛頭人腰帶（MINOTAUR BELT）
Monkey Belt.MOD	OUTPUTNAME:靈猴腰帶（MONKEY BELT）
Monkey Belt (Greater).MOD	OUTPUTNAME:高等靈猴腰帶（MONKEY BELT, GREATER）
Plague Rat Belt.MOD	OUTPUTNAME:瘟疫鼠腰帶（PLAGUE RAT BELT）
Plague Rat Belt (Greater).MOD	OUTPUTNAME:高等瘟疫鼠腰帶（PLAGUE RAT BELT, GREATER）
Sash of Flowing Water.MOD	OUTPUTNAME:流水腰帶（SASH OF FLOWING WATER）
Security Belt.MOD	OUTPUTNAME:秘藏腰帶（SECURITY BELT）
Serpent Belt.MOD	OUTPUTNAME:毒蛇腰帶（SERPENT BELT）
Serpent Belt (Greater).MOD	OUTPUTNAME:高等毒蛇腰帶（SERPENT BELT, GREATER）
Shadowform Belt.MOD	OUTPUTNAME:陰影形態腰帶（SHADOWFORM BELT）
