Vestment (Druid's).MOD	OUTPUTNAME:德魯伊祭袍（Druid's Vestment）	
Robe (Monk's).MOD	OUTPUTNAME:武僧之袍（Monk's Robe）	
Robe of Blending.MOD	OUTPUTNAME:融合法袍（Robe of Blending）	
Robe of Bones.MOD	OUTPUTNAME:骸骨法袍（Robe of Bones）	
Robe of Eyes.MOD	OUTPUTNAME:百眼法袍（Robe of Eyes）	
Robe of Scintillating Colors.MOD	OUTPUTNAME:虹光法袍（Robe of Scintillating Colors）	
Robe of Stars.MOD	OUTPUTNAME:星光法袍（Robe of Stars）	
Robe of the Archmagi (White).MOD	OUTPUTNAME:大法師之袍（白袍）（Robe of the Archmagi (White)）	
Robe of the Archmagi (Grey).MOD	OUTPUTNAME:大法師之袍（灰袍）（Robe of the Archmagi (Grey)）
Robe of the Archmagi (Black).MOD	OUTPUTNAME:大法師之袍（黑袍）（Robe of the Archmagi (Black)）
Robe of Useful Items.MOD	OUTPUTNAME:雜貨法袍（Robe of Useful Items）	
