Blazing Robes.MOD	OUTPUTNAME:燃燒長袍（Blazing Robe）
Bodywrap of Mighty Strikes +1.MOD	OUTPUTNAME:+1強力打擊裹袍（Bodywrap of Mighty Strikes）
Bodywrap of Mighty Strikes +2.MOD	OUTPUTNAME:+2強力打擊裹袍（Bodywrap of Mighty Strikes）
Bodywrap of Mighty Strikes +3.MOD	OUTPUTNAME:+3強力打擊裹袍（Bodywrap of Mighty Strikes）
Bodywrap of Mighty Strikes +4.MOD	OUTPUTNAME:+4強力打擊裹袍（Bodywrap of Mighty Strikes）
Bodywrap of Mighty Strikes +5.MOD	OUTPUTNAME:+5強力打擊裹袍（Bodywrap of Mighty Strikes）
Bodywrap of Mighty Strikes +6.MOD	OUTPUTNAME:+6強力打擊裹袍（Bodywrap of Mighty Strikes）
Bodywrap of Mighty Strikes +7.MOD	OUTPUTNAME:+7強力打擊裹袍（Bodywrap of Mighty Strikes）
Cassock of the Clergy.MOD	OUTPUTNAME:牧師法衣（Cassock of The Clergy）
Corset of Dire Witchcraft.MOD	OUTPUTNAME:駭人巫術胸衣（Corset of Dire Witchcraft）
Corset of the Vishkanya.MOD	OUTPUTNAME:蝮血裔束胸（Corset of The Vishkanya）
Eidolon Anchoring Harness.MOD	OUTPUTNAME:嚮導錨定甲冑（Eidolon Anchoring Harness）
Gunman's Duster.MOD	OUTPUTNAME:槍手風衣（Gunman'S Duster）
Mnemonic Vestments.MOD	OUTPUTNAME:記憶法衣（Mnemonic Vestment）
Otherworldly Kimono.MOD	OUTPUTNAME:奇想和服（Otherworldly Kimono）
Resplendent Robe of the Thespian.MOD	OUTPUTNAME:優伶的璀璨之袍（Resplendent Robe of The Thespian）
Robe of Arcane Heritage.MOD	OUTPUTNAME:奧術傳承之袍（Robe of Arcane Heritage）
Robe of Components.MOD	OUTPUTNAME:素材法袍（Robe of Components）
Robe of Gates.MOD	OUTPUTNAME:召喚法袍（Robe of Gates）
Robe of Infinite Twine.MOD	OUTPUTNAME:無盡麻繩法袍（Robe of Infinite Twine）
Robe of Needles.MOD	OUTPUTNAME:飛針法袍（Robe of Needles）
Shocking Robe.MOD	OUTPUTNAME:電擊法袍（Shocking Robe）
Smuggler's Collapsible Robe.MOD	OUTPUTNAME:走私者的折疊法袍（Smuggler'S Collapsible Robe）
Sorcerer's Robe.MOD	OUTPUTNAME:術士法袍（Sorcerer'S Robe）
Voidfrost Robes.MOD	OUTPUTNAME:極寒法袍（Voidfrost Robe）
Xorn Robe.MOD	OUTPUTNAME:玉食法袍（Xorn Robe）
