All Tools Vest.MOD	OUTPUTNAME:巧匠背心（All Tools Vest）
Bane Baldric.MOD	OUTPUTNAME:破敵綬帶（Bane Baldric）
Cackling Hag'S Blouse.MOD	OUTPUTNAME:尖笑女巫罩衫（Cackling Hag'S Blouse）
Deadshot Vest.MOD	OUTPUTNAME:死狙背心（Deadshot Vest）
Endless Bandolier.MOD	OUTPUTNAME:無盡子彈帶（Endless Bandolier）
Mantle of Immortality.MOD	OUTPUTNAME:不朽披肩（Mantle of Immortality）
Merciful Baldric.MOD	OUTPUTNAME:恩惠綬帶（Merciful Baldric）
Poisoner's Jacket (Greater).MOD	OUTPUTNAME:強效毒素夾克（Poisoner's Jacket, Greater）
Poisoner's Jacket (Lesser).MOD	OUTPUTNAME:弱效毒素夾克（Poisoner's Jacket, Lesser）
Prophet's Pectoral.MOD	OUTPUTNAME:先知胸飾（Prophet's Pectoral）
Quick Runner's Shirt.MOD	OUTPUTNAME:高速戰士襯衫（Quick Runner's Shirt）
Resplendent Uniform Coat.MOD	OUTPUTNAME:華麗制服（Resplendent Uniform Coat）
Shirt of Immolation.MOD	OUTPUTNAME:獻祭襯衫（Shirt of Immolation）
Sipping Jacket.MOD	OUTPUTNAME:吸水夾克（Sipping Jacket）
Snakeskin Tunic.MOD	OUTPUTNAME:蛇皮短衫（Snakeskin Tunic）
Spectral Shroud.MOD	OUTPUTNAME:幽靈罩袍（Spectral Shroud）
Tunic of Careful Casting.MOD	OUTPUTNAME:謹慎施法短衫（Tunic of Careful Casting）
Tunic of Deadly Might.MOD	OUTPUTNAME:致命打擊短衫（Tunic of Deadly Might）
Unfettered Shirt.MOD	OUTPUTNAME:無拘襯衫（Unfettered Shirt）
Vest of Stable Mutation.MOD	OUTPUTNAME:穩定突變背心（Vest of Stable Mutation）
Vest of Surgery.MOD	OUTPUTNAME:手術背心（Vest of Surgery）
Vest of the Vengeful Tracker.MOD	OUTPUTNAME:復仇追蹤者背心（Vest of The Vengeful Tracker）
