Band of the Stalwart Warrior.MOD	OUTPUTNAME:堅定戰士頭環（Band of the Stalwart Warrior）
Dead Man's Headband.MOD	OUTPUTNAME:死者頭帶（Dead Man's Headband）
Headband of Aerial Agility (INT) +2.MOD	OUTPUTNAME:+2滑空頭帶（智力）（Headband of Aerial Agility (INT)）
Headband of Aerial Agility (INT) +4.MOD	OUTPUTNAME:+4滑空頭帶（智力）（Headband of Aerial Agility (INT)）
Headband of Aerial Agility (INT) +6.MOD	OUTPUTNAME:+6滑空頭帶（智力）（Headband of Aerial Agility (INT)）
Headband of Aerial Agility (WIS) +2.MOD	OUTPUTNAME:+2滑空頭帶（感知）（Headband of Aerial Agility (WIS)）
Headband of Aerial Agility (WIS) +4.MOD	OUTPUTNAME:+4滑空頭帶（感知）（Headband of Aerial Agility (WIS)）
Headband of Aerial Agility (WIS) +6.MOD	OUTPUTNAME:+6滑空頭帶（感知）（Headband of Aerial Agility (WIS)）
Headband of Aerial Agility (CHA) +2.MOD	OUTPUTNAME:+2滑空頭帶（魅力）（Headband of Aerial Agility (CHA)）
Headband of Aerial Agility (CHA) +4.MOD	OUTPUTNAME:+4滑空頭帶（魅力）（Headband of Aerial Agility (CHA)）
Headband of Aerial Agility (CHA) +6.MOD	OUTPUTNAME:+6滑空頭帶（魅力）（Headband of Aerial Agility (CHA)）
Headband of Arcane Energy.MOD	OUTPUTNAME:奧術能量頭帶（Headband of Arcane Energy）
Headband of Counterspelling.MOD	OUTPUTNAME:法術反制頭帶（Headband of Counterspelling）
Headband of Deathless Devotion.MOD	OUTPUTNAME:不滅決意頭帶（Headband of Deathless Devotion）
Headband of Fortune's Favor.MOD	OUTPUTNAME:幸運頭帶（Headband of Fortune's Favor）
Headband of Havoc.MOD	OUTPUTNAME:毀滅頭帶（Headband of Havoc）
Headband of Intuition.MOD	OUTPUTNAME:直感頭帶（Headband of Intuition）
Headband of Ki Focus.MOD	OUTPUTNAME:真氣頭帶（Headband of Ki Focus）
Headband of Knucklebones.MOD	OUTPUTNAME:骨關節頭帶（Headband of Knucklebones）
Headband of Mental Resilience.MOD	OUTPUTNAME:心靈彈性頭帶（Headband of Mental Resilience）
Headband of Ninjitsu.MOD	OUTPUTNAME:忍術頭帶（Headband of Ninjitsu）
Headband of Ponderous Recollection.MOD	OUTPUTNAME:漸憶頭帶（Headband of Ponderous Recollection）
Headband of Seduction.MOD	OUTPUTNAME:誘惑頭帶（Headband of Seduction）
Headband of Unshakeable Resolve.MOD	OUTPUTNAME:不動決心頭帶（Headband of Unshakeable Resolve）
Hollywreath Band.MOD	OUTPUTNAME:冬青花環頭環（Hollywreath Band）
Hunter's Band.MOD	OUTPUTNAME:獵人頭環（Hunter's Band）
Phylactery of the Shepherd.MOD	OUTPUTNAME:牧羊人經匣（Phylactery of the Shepherd）
Serpent's Band.MOD	OUTPUTNAME:爬蟲頭環（Serpent's Band）
Shifter's Headband (INT) +2.MOD	OUTPUTNAME:+2八卦頭帶（智力）（Shifter's Headband (INT)）
Shifter's Headband (INT) +4.MOD	OUTPUTNAME:+4八卦頭帶（智力）（Shifter's Headband (INT)）
Shifter's Headband (INT) +6.MOD	OUTPUTNAME:+6八卦頭帶（智力）（Shifter's Headband (INT)）
Shifter's Headband (WIS) +2.MOD	OUTPUTNAME:+2八卦頭帶（感知）（Shifter's Headband (WIS)）
Shifter's Headband (WIS) +4.MOD	OUTPUTNAME:+4八卦頭帶（感知）（Shifter's Headband (WIS)）
Shifter's Headband (WIS) +6.MOD	OUTPUTNAME:+6八卦頭帶（感知）（Shifter's Headband (WIS)）
Shifter's Headband (CHA) +2.MOD	OUTPUTNAME:+2八卦頭帶（魅力）（Shifter's Headband (CHA)）
Shifter's Headband (CHA) +4.MOD	OUTPUTNAME:+4八卦頭帶（魅力）（Shifter's Headband (CHA)）
Shifter's Headband (CHA) +6.MOD	OUTPUTNAME:+6八卦頭帶（魅力）（Shifter's Headband (CHA)）
Soulbound Eye.MOD	OUTPUTNAME:攝魂眼（Soulbound Eye）
Veiled Eye.MOD	OUTPUTNAME:隱藏眼（Veiled Eye）
Winter Wolf Headband.MOD	OUTPUTNAME:冬狼頭帶（Winter Wolf Headband）
