Aegis of Recovery.MOD	OUTPUTNAME:復原徽章（Aegis of Recovery）	
Ampoule of False Blood.MOD	OUTPUTNAME:虛假血脈之瓶（Ampoule of False Blood）	
Amulet of Bullet Protection +1.MOD	OUTPUTNAME:+1防彈護符（Amulet of Bullet Protection）	
Amulet of Bullet Protection +2.MOD	OUTPUTNAME:+2防彈護符（Amulet of Bullet Protection）	
Amulet of Bullet Protection +3.MOD	OUTPUTNAME:+3防彈護符（Amulet of Bullet Protection）	
Amulet of Bullet Protection +4.MOD	OUTPUTNAME:+4防彈護符（Amulet of Bullet Protection）	
Amulet of Bullet Protection +5.MOD	OUTPUTNAME:+5防彈護符（Amulet of Bullet Protection）	
Amulet of Elemental Strife.MOD	OUTPUTNAME:元素衝突護符（Amulet of Elemental Strife）	
Amulet of Hidden Strength.MOD	OUTPUTNAME:藏力護符（Amulet of Hidden Strength）	
Amulet of Magecraft.MOD	OUTPUTNAME:魔力工藝護符（Amulet of Magecraft）	
Amulet of Proof Against Petrification.MOD	OUTPUTNAME:防護石化護符（Amulet of Proof Against Petrification）	
Amulet of Spell Mastery.MOD	OUTPUTNAME:法術大師護符（Amulet of Spell Mastery）	
Brooch of Amber Sparks.MOD	OUTPUTNAME:琥珀火花胸針（Brooch of Amber Sparks）	
Carcanet of Detention.MOD	OUTPUTNAME:拘留珠飾（Carcanet of Detention）	
Collar of the True Companion.MOD	OUTPUTNAME:真友項圈（Collar of the True Companion）	
Dragonfoe Amulet.MOD	OUTPUTNAME:龍敵護符（Dragonfoe Amulet）	
Everwake Amulet.MOD	OUTPUTNAME:永醒護符（Everwake Amulet）	
Feychild Necklace.MOD	OUTPUTNAME:妖童項鏈（Feychild Necklace）	
Forge Fist Amulet.MOD	OUTPUTNAME:鍛拳護符（Forge Fist Amulet）	
Frost Fist Amulet.MOD	OUTPUTNAME:冰拳護符（Frost Fist Amulet）	
Gravewatch Pendant.MOD	OUTPUTNAME:守墓者掛飾（Gravewatch Pendant）	
Guardian Gorget.MOD	OUTPUTNAME:防衛護喉（Guardian Gorget）	
Hand of Stone.MOD	OUTPUTNAME:岩石之手（Hand of Stone）	
Mind Sentinel Medallion.MOD	OUTPUTNAME:心靈崗哨勳章（Mind Sentinel Medallion）	
Mummer's Ruff.MOD	OUTPUTNAME:演員領結（Mummer's Ruff）	
Necklace of Ki Serenity.MOD	OUTPUTNAME:禪定項鏈（Necklace of Ki Serenity）	
Necklace of Netted Stars.MOD	OUTPUTNAME:星網項鏈（Necklace of Netted Stars）	
Periapt of Protection From Curses.MOD	OUTPUTNAME:避咒護符（Periapt of Protection From Curses）	
Righteous Fist Amulet.MOD	OUTPUTNAME:正義之拳護符（Righteous Fist Amulet）	
Stormlure.MOD	OUTPUTNAME:風暴誘餌（Stormlure）	
Swarmbane Clasp.MOD	OUTPUTNAME:滅群扣環（Swarmbane Clasp）	
Symbol of Sanguine Protection.MOD	OUTPUTNAME:護血印記（Symbol of Sanguine Protection）	
