Assassin's Dust.MOD	OUTPUTNAME:刺客之塵（Assassin's Dust）
Banner of Restful Nights.MOD	OUTPUTNAME:靜夜旗（Banner of Restful Nights）
Bell of Returning Spirits.MOD	OUTPUTNAME:歸魂鈴（Bell of Returning Spirits）
Bottled Scream.MOD	OUTPUTNAME:瓶裝尖嘯（Bottled Scream）
Brass Spider.MOD	OUTPUTNAME:黃銅蜘蛛（Brass Spider）
Cups of Rapport.MOD	OUTPUTNAME:交心杯（Cups of Rapport）
Drinking Horn of the Panacea.MOD	OUTPUTNAME:靈藥角尊（Drinking Horn of the Panacea）
Elixir of the Thundering Voice.MOD	OUTPUTNAME:雷吼靈藥 （Elixir of the Thundering Voice）
Figurine of Wondrous Power (Tin Imp).MOD	OUTPUTNAME:奇妙雕像：錫魔鬼（Figurine of Wondrous Power (Tin Imp)）
Glowing Gourd.MOD	OUTPUTNAME:微光葫蘆（Glowing Gourd）
Handkerchief of Finding.MOD	OUTPUTNAME:尋跡手帕（Handkerchief of Finding）
Hunter's Tree Fort.MOD	OUTPUTNAME:獵手樹堡（Hunter's Tree Fort  ）
Incense of Eidos.MOD	OUTPUTNAME:心靈明晰熏香（Incense of Eidos）
Investigator's Pipe.MOD	OUTPUTNAME:調查員的煙斗（Investigator's Pipe）
Lantern of Auras.MOD	OUTPUTNAME:魔光提燈（Lantern of Auras）
Lute of the Battle Ready (+1 spear).MOD	OUTPUTNAME:戰備魯特琴（+1矛）（Lute of the Battle Ready (+1 spear)）
Lute of the Battle Ready (+1 longsword).MOD	OUTPUTNAME:戰備魯特琴（+1長劍）（Lute of the Battle Ready (+1 longsword)
Lute of the Battle Ready (+1 battleaxe).MOD	OUTPUTNAME:戰備魯特琴（+1戰斧）（Lute of the Battle Ready (+1 battleaxe)
One-Way Window.MOD	OUTPUTNAME:單向掛窗（One-Way Window）
Physician's Spectacles.MOD	OUTPUTNAME:醫師眼鏡（Physician's Spectacles）
Plume of Panache.MOD	OUTPUTNAME:氣派羽飾 （Plume of Panache）
Poet's Cloak.MOD	OUTPUTNAME:詩歌披風 （Poet's Cloak）
Preyfinder.MOD	OUTPUTNAME:尋獵者（Preyfinder）
Restoration Dust.MOD	OUTPUTNAME:還屍粉（Restoration Dust）
Runes of the Crone's Coven.MOD	OUTPUTNAME:鬼婆戰團符文（Runes of the Crone's Coven  ）
Runes of the Old Faith.MOD	OUTPUTNAME:舊日信仰符文（Runes of the Old Faith  ）
Runestone of Power (1st Level).MOD	OUTPUTNAME:1级力量符文石（Runestone of Power (1st Level)）
Runestone of Power (2nd Level).MOD	OUTPUTNAME:2级力量符文石（Runestone of Power (2nd Level)）
Runestone of Power (3rd Level).MOD	OUTPUTNAME:3级力量符文石（Runestone of Power (3rd Level)）
Runestone of Power (4th Level).MOD	OUTPUTNAME:4级力量符文石（Runestone of Power (4th Level)）
Runestone of Power (5th Level).MOD	OUTPUTNAME:5级力量符文石（Runestone of Power (5th Level)）
Runestone of Power (6th Level).MOD	OUTPUTNAME:6级力量符文石（Runestone of Power (6th Level)）
Runestone of Power (7th Level).MOD	OUTPUTNAME:7级力量符文石（Runestone of Power (7th Level)）
Runestone of Power (8th Level).MOD	OUTPUTNAME:8级力量符文石（Runestone of Power (8th Level)）
Runestone of Power (9th Level).MOD	OUTPUTNAME:9级力量符文石（Runestone of Power (9th Level)）
Spell Lattice (1st Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (1st Level)）
Spell Lattice (2nd Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (2nd Level)）
Spell Lattice (3rd Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (3rd Level)）
Spell Lattice (4th Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (4th Level)）
Spell Lattice (5th Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (5th Level)）
Spell Lattice (6th Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (6th Level)）
Spell Lattice (7th Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (7th Level)）
Spell Lattice (8th Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (8th Level)）
Spell Lattice (9th Level).MOD	OUTPUTNAME:1级咒法晶格（Spell Lattice (9th Level)）
Storyteller's Dust.MOD	OUTPUTNAME:說書人之塵（Storyteller's Dust）
Swordmaster's Flair (Blue Scarf).MOD	OUTPUTNAME:大劍師之證（蒼藍圍巾）（Swordmaster's Flair (Blue Scarf)）
Swordmaster's Flair (Green Glove).MOD	OUTPUTNAME:大劍師之證（墨綠手套）（Swordmaster's Flair (Green Glove)）
Swordmaster's Flair (Red Sash).MOD	OUTPUTNAME:大劍師之證（殷紅飾帶）（Swordmaster's Flair (Red Sash)）
Swordmaster's Flair (White Lace Kerchief).MOD	OUTPUTNAME:大劍師之證（雪白蕾絲頭巾）（Swordmaster's Flair (White Lace Kerchief)）
Trollbone.MOD	OUTPUTNAME:巨魔骨飾（Trollbone）
Wand Key Ring.MOD	OUTPUTNAME:魔具啟動環（Wand Key Ring）
Whistle of Calling.MOD	OUTPUTNAME:呼喚之哨（Whistle of Calling）
