Apple of Eternal Sleep.MOD	OUTPUTNAME:永眠蘋果（Apple of Eternal Sleep）
Book of the Loremaster.MOD	OUTPUTNAME:博學之書（Book of the Loremaster）
Bottle of Messages.MOD	OUTPUTNAME:傳訊瓶（Bottle of Messages）
Campfire Bead.MOD	OUTPUTNAME:營火念珠（Campfire Bead）
Cauldron of Brewing.MOD	OUTPUTNAME:熔煉之釜（Cauldron of Brewing）
Cauldron of Flying.MOD	OUTPUTNAME:飛行之釜（Cauldron of Flying）
Cauldron of Plenty.MOD	OUTPUTNAME:豐收之釜（Cauldron of Plenty）
Cauldron of Resurrection.MOD	OUTPUTNAME:復生之釜（Cauldron of Resurrection）
Cauldron of Seeing.MOD	OUTPUTNAME:探知之釜（Cauldron of Seeing）
Cauldron of the Dead.MOD	OUTPUTNAME:死者之釜（Cauldron of the Dead）
Clamor Box.MOD	OUTPUTNAME:喧鬧箱（Clamor Box）
Construct Channel Brick.MOD	OUTPUTNAME:構裝引導磚（Construct Channel Brick）
Defoliant Polish.MOD	OUTPUTNAME:脫葉糨糊（Defoliant Polish）
Doomharp.MOD	OUTPUTNAME:末日豎琴（Doomharp）
Dust of Emulation.MOD	OUTPUTNAME:模擬粉（Dust of Emulation）
Flying Ointment.MOD	OUTPUTNAME:飛行軟膏（Flying Ointment）
Horn of the Huntmaster.MOD	OUTPUTNAME:獵人大師號角（Horn of the Huntmaster）
Ioun Torch.MOD	OUTPUTNAME:浮游明焰（Ioun Torch）
Key of Lock Jamming.MOD	OUTPUTNAME:干擾鎖之匙（Key of Lock Jamming）
Ki Mat.MOD	OUTPUTNAME:真氣蒲團（Ki Mat）
Knight's Pennon (Honor).MOD	OUTPUTNAME:騎士的三角旗（榮譽）（Knight's Pennon (Honor)）
Knight's Pennon (Parley).MOD	OUTPUTNAME:騎士的三角旗（談判）（Knight's Pennon (Parley)）
Knight's Pennon (Battle).MOD	OUTPUTNAME:騎士的三角旗（戰鬥）（Knight's Pennon (Battle)）
Lord's Banner (Crusades).MOD	OUTPUTNAME:領主旗幟（聖戰之旗）（Lord's Banner (Crusades)）
Lord's Banner (Swiftness).MOD	OUTPUTNAME:領主旗幟（迅捷之旗）（Lord's Banner (Swiftness)）
Lord's Banner (Terror).MOD	OUTPUTNAME:領主旗幟（恐怖之旗）（Lord's Banner (Terror)）
Lord's Banner (Victory).MOD	OUTPUTNAME:領主旗幟（勝利之旗）（Lord's Banner (Victory)）
Necromancer's Athame.MOD	OUTPUTNAME:死靈師的祭器（Necromancer's Athame）
Philter of Love.MOD	OUTPUTNAME:迷情魅藥（Philter of Love）
Scabbard of Stanching.MOD	OUTPUTNAME:止血之鞘（Scabbard of Stanching）
Scabbard of Vigor.MOD	OUTPUTNAME:威力之鞘（Scabbard of Vigor）
Sheath of Bladestealth.MOD	OUTPUTNAME:藏劍之鞘（Sheath of Bladestealth）
Soul Soap.MOD	OUTPUTNAME:魂之皂（Soul Soap）
War Paint of the Terrible Visage.MOD	OUTPUTNAME:兇猛戰紋顏料（War Paint of the Terrible Visage）
