Apparatus of the Crab.MOD	OUTPUTNAME:河蟹裝置（Apparatus of the Crab）
Bag of Holding (Type I).MOD	OUTPUTNAME:次元袋（一型）（Bag of Holding (Type I)）
Bag of Holding (Type II).MOD	OUTPUTNAME:次元袋（二型）（Bag of Holding (Type II)）
Bag of Holding (Type III).MOD	OUTPUTNAME:次元袋（三型）（Bag of Holding (Type III)）
Bag of Holding (Type IV).MOD	OUTPUTNAME:次元袋（四型）（Bag of Holding (Type IV)）
Bag of Tricks (Tan).MOD	OUTPUTNAME:魔術袋（褐色）（Bag of Tricks (Tan)）
Bag of Tricks (Gray).MOD	OUTPUTNAME:魔術袋（灰色）（Bag of Tricks (Gray)）
Bag of Tricks (Rust).MOD	OUTPUTNAME:魔術袋（鐵銹色）（Bag of Tricks (Rust)）
Bead of Force.MOD	OUTPUTNAME:力場珠（Bead of Force）
Blessed Book.MOD	OUTPUTNAME:祝福書（Blessed Book）
Bottle of Air.MOD	OUTPUTNAME:換氣瓶（Bottle of Air）
Broom of Flying.MOD	OUTPUTNAME:飛行掃帚（Broom of Flying  ）
Candle of Invocation (Lawful-Good).MOD	OUTPUTNAME:祈神蠟燭（秩序善良）（Candle of Invocation (Lawful-Good)）
Candle of Invocation (Neutral-Good).MOD	OUTPUTNAME:祈神蠟燭（中立善良）（Candle of Invocation (Neutral-Good)）
Candle of Invocation (Chaotic-Good).MOD	OUTPUTNAME:祈神蠟燭（混亂善良）（Candle of Invocation (Chaotic-Good)）
Candle of Invocation (Lawful-Neutral).MOD	OUTPUTNAME:祈神蠟燭（秩序中立）（Candle of Invocation (Lawful-Neutral)）
Candle of Invocation (Neutral).MOD	OUTPUTNAME:祈神蠟燭（絕對中立）（Candle of Invocation (Neutral)）
Candle of Invocation (Chaotic-Neutral).MOD	OUTPUTNAME:祈神蠟燭（混亂中立）（Candle of Invocation (Chaotic-Neutral)）
Candle of Invocation (Lawful-Evil).MOD	OUTPUTNAME:祈神蠟燭（秩序邪惡）（Candle of Invocation (Lawful-Evil)）
Candle of Invocation (Neutral-Evil).MOD	OUTPUTNAME:祈神蠟燭（中立邪惡）（Candle of Invocation (Neutral-Evil)）
