Abjurant Salt.MOD	OUTPUTNAME:淨潔鹽（Abjurant Salt）
Admixture Vial.MOD	OUTPUTNAME:融合之瓶（Admixture Vial）
Agile Alpenstock.MOD	OUTPUTNAME:敏捷登山杖（Agile Alpenstock）
Alluring Golden Apple.MOD	OUTPUTNAME:誘人的金蘋果（Alluring Golden Apple）
Anatomy Doll.MOD	OUTPUTNAME:解剖玩偶（Anatomy Doll）
Animated Portrait.MOD	OUTPUTNAME:活動肖像畫（Animated Portrait）
Archon's Torch.MOD	OUTPUTNAME:亞空火炬（Archon's Torch）
Arrow Magnet.MOD	OUTPUTNAME:吸箭石（Arrow Magnet）
Balm of Impish Grace.MOD	OUTPUTNAME:滑溜油膏（Balm of Impish Grace）
Bead of Newt Prevention.MOD	OUTPUTNAME:蠑螈預防珠（Bead of Newt Prevention）
Beast-Bond Brand.MOD	OUTPUTNAME:獸魂聯繫印記（Beast-Bond Brand）
Black Soul Shard.MOD	OUTPUTNAME:黑魂碎片（Black Soul Shard）
Blood Reservoir of Physical Prowess.MOD	OUTPUTNAME:英體血瓶（Blood Reservoir of Physical Prowess）
Bone Razor.MOD	OUTPUTNAME:骨剃刀（Bone Razor）
Book of Extended Summoning (Standard).MOD	OUTPUTNAME:延時召喚之書（Book of Extended Summoning (Standard)）
Book of Extended Summoning (Greater).MOD	OUTPUTNAME:高等延時召喚之書（Book of Extended Summoning (Greater)）
Book of Extended Summoning (Lesser).MOD	OUTPUTNAME:弱效延時召喚之書（Book of Extended Summoning (Lesser)）
Bookmark of Deception.MOD	OUTPUTNAME:欺詐書籤（Bookmark of Deception）
Bookplate of Recall.MOD	OUTPUTNAME:召來書架（Bookplate of Recall）
Boro Bead (1st).MOD	OUTPUTNAME:1環波若珠（Boro Bead (1st)）
Boro Bead (2nd).MOD	OUTPUTNAME:2環波若珠（Boro Bead (2nd)）
Boro Bead (3rd).MOD	OUTPUTNAME:3環波若珠（Boro Bead (3rd)）
Boro Bead (4th).MOD	OUTPUTNAME:4環波若珠（Boro Bead (4th)）
Boro Bead (5th).MOD	OUTPUTNAME:5環波若珠（Boro Bead (5th)）
Boro Bead (6th).MOD	OUTPUTNAME:6環波若珠（Boro Bead (6th)）
Bottle of Shadows.MOD	OUTPUTNAME:暗影瓶（Bottle of Shadows）
Bottled Misfortune.MOD	OUTPUTNAME:瓶裝厄運（Bottled Misfortune）
Bottled Yeti Fur.MOD	OUTPUTNAME:瓶裝雪人毛皮（Bottled Yeti Fur）
Boundary Chalk.MOD	OUTPUTNAME:劃界粉筆（Boundary Chalk）
Bowl of Conjuring Water Elementals.MOD	OUTPUTNAME:水元素魔術之杯（Bowl of Conjuring Water Elementals）
Brazier of Conjuring Fire Elementals.MOD	OUTPUTNAME:火元素魔術之盆（Brazier of Conjuring Fire Elementals）
Candle of Clean Air.MOD	OUTPUTNAME:潔淨空氣蠟燭（Candle of Clean Air）
Cape of Bravado.MOD	OUTPUTNAME:虛張聲勢斗篷（Cape of Bravado）
