CLOTH.MOD	OUTPUTNAME:布料
LEATHER.MOD	OUTPUTNAME:皮革
ROPE.MOD	OUTPUTNAME:繩織
STEEL.MOD	OUTPUTNAME:鋼鐵
WOOD.MOD	OUTPUTNAME:木材
Adamantine (Ammo).MOD	OUTPUTNAME:精金
Adamantine (Light Armor).MOD	OUTPUTNAME:精金
Adamantine (Medium Armor).MOD	OUTPUTNAME:精金
Adamantine (Heavy Armor).MOD	OUTPUTNAME:精金
Adamantine (Weapon).MOD	OUTPUTNAME:精金
Alchemical Silver.MOD	OUTPUTNAME:煉銀
Cold Iron.MOD	OUTPUTNAME:寒鐵
Darkwood.MOD	OUTPUTNAME:黑木
Dragonhide.MOD	OUTPUTNAME:龍革
Mithral (Light Armor).MOD	OUTPUTNAME:秘銀
Mithral (Medium Armor).MOD	OUTPUTNAME:秘銀
Mithral (Heavy Armor).MOD	OUTPUTNAME:秘銀
Mithral (Shield).MOD	OUTPUTNAME:秘銀
Mithral (Item).MOD	OUTPUTNAME:秘銀
