Rod (Immovable).MOD	OUTPUTNAME:不動權杖 （Immovable Rod）
Rod (Thunder and Lightning).MOD	OUTPUTNAME:雷鳴力量權杖 （Rod of Thunderous Force）
Rod (Ice).MOD	OUTPUTNAME:冰凍權杖 （Rod of Ice）
Rod (Metal and Mineral Detection).MOD	OUTPUTNAME:金屬探測權杖 （Rod of Metal and Mineral Detection）
Rod (Cancellation).MOD	OUTPUTNAME:抹消權杖 （Rod of Cancellation）
Rod of Grasping Hexes.MOD	OUTPUTNAME:糾纏巫術權杖（Rod of Grasping Hexes）
Rod of Interminable Hexes.MOD	OUTPUTNAME:冗長巫術權杖（Rod of Interminable Hexes）               
Rod (Conduit).MOD	OUTPUTNAME:傳導權杖 （Conduit Rod）
Rod (Grounding).MOD	OUTPUTNAME:接地權杖 （Grounding Rod）
Rod (Wayang).MOD	OUTPUTNAME:剪影人權杖 （Rod of the Wayang）
Rod (Wonder).MOD	OUTPUTNAME:驚奇權杖 （Rod of Wonder）
Rod (Python).MOD	OUTPUTNAME:巨蟒權杖 （Rod of the Python）
Rod (Trap-Stealer's).MOD	OUTPUTNAME:盜墓權杖 （Trap-Stealer's Rod）
Rod (Balance).MOD	OUTPUTNAME:平衡權杖 （Rod of Balance）
Rod (Escape).MOD	OUTPUTNAME:逃脫權杖 （Rod of Escape）
Rod (Flame Extinguishing).MOD	OUTPUTNAME:滅火權杖 （Rod of Flame Extinguishing）
Rod (Ruin).MOD	OUTPUTNAME:廢墟權杖 （Rod of Ruin）
Rod (Sapling).MOD	OUTPUTNAME:樹苗權杖 （Sapling Rod）
Rod (Beguiling).MOD	OUTPUTNAME:誘騙權杖 （Rod of Beguiling）
Rod (Nettles).MOD	OUTPUTNAME:蕁麻權杖 （Rod of Nettles）
Rod (Viper).MOD	OUTPUTNAME:毒蛇權杖 （Rod of the Viper）
Suzerain Scepter.MOD	OUTPUTNAME:領主節杖 （Suzerain Scepter）
Rod (Fiery Nimbus).MOD	OUTPUTNAME:火焰光環權杖 （Fiery Nimbus Rod）
Rod (Enemy Detection).MOD	OUTPUTNAME:索敵權杖 （Rod of Enemy Detection）
Rod (Splendor).MOD	OUTPUTNAME:光彩權杖 （Rod of Splendor）
Rod (Withering).MOD	OUTPUTNAME:枯萎權杖 （Rod of Withering）
Earthbind Rod.MOD	OUTPUTNAME:石縛權杖 （Earthbind Rod）
Rod (Aboleth).MOD	OUTPUTNAME:底棲魔魚權杖 （Rod of the Aboleth）
Rod (Liberator's).MOD	OUTPUTNAME:解放者權杖 （Liberator's Rod）
Rod of Voracious Hexes.MOD	OUTPUTNAME:貪慾巫術權杖（Rod of Voracious Hexes）
Rod (Thunder and Lightning).MOD	OUTPUTNAME:雷電權杖 （Rod of Thunder and Lightning）
Rod (Negation).MOD	OUTPUTNAME:否定權杖 （Rod of Negation）
Rod (Steadfast Resolve).MOD	OUTPUTNAME:堅定權杖 （Rod of Steadfast Resolve）
Rod (Absorption).MOD	OUTPUTNAME:吸收權杖 （Rod of Absorption）
Rod (Flailing).MOD	OUTPUTNAME:鏈枷權杖 （Rod of Flailing）
Rod of Potent Hexes.MOD	OUTPUTNAME:烈性巫術權杖（Rod of Potent Hexes）
Rod (Rulership).MOD	OUTPUTNAME:統治者權杖 （Rod of Rulership）
Rod (Security).MOD	OUTPUTNAME:庇護權杖 （Rod of Security）
Rod (Shadows).MOD	OUTPUTNAME:陰影權杖 （Rod of Shadows）
