Aboleth.MOD	OUTPUTNAME:底栖魔鱼 （Aboleth）
Angel (Astral Deva).MOD	OUTPUTNAME:天使，星界神使 （Angel (Astral Deva)）
Angel (Planetar).MOD	OUTPUTNAME:天使，异界神侍 （Angel (Planetar)）
Angel (Solar).MOD	OUTPUTNAME:天使，炽天神侍 （Angel (Solar)）
Animated Object (Tiny).MOD	OUTPUTNAME:活化物体（超小型） （Animated Object (Tiny)）
Animated Object (Small).MOD	OUTPUTNAME:活化物体（小型） （Animated Object (Small)）
Animated Object (Medium).MOD	OUTPUTNAME:活化物体（中型） （Animated Object (Medium)）
Animated Object (Large).MOD	OUTPUTNAME:活化物体（大型） （Animated Object (Large)）
Animated Object (Huge).MOD	OUTPUTNAME:活化物体（超大型） （Animated Object (Huge)）
Animated Object (Gargantuan).MOD	OUTPUTNAME:活化物体（巨型） （Animated Object (Gargantuan)）
Animated Object (Colossal).MOD	OUTPUTNAME:活化物体（超巨型） （Animated Object (Colossal)）
Ankheg.MOD	OUTPUTNAME:掘地虫 （Ankheg）
Ant (Giant).MOD	OUTPUTNAME:巨蚁 （Ant (Giant)）
Ant (Worker).MOD	OUTPUTNAME:工蚁 （Ant (Worker)）
Ant (Drone).MOD	OUTPUTNAME:公蚁 （Ant (Drone)）
Ant (Queen).MOD	OUTPUTNAME:蚁后 （Ant (Queen)）
Ant (Army/Swarm).MOD	OUTPUTNAME:行军蚁集群 （Ant (Army/Swarm)）
Ape (Gorilla).MOD	OUTPUTNAME:大猩猩 （Ape (Gorilla)）
Ape (Dire).MOD	OUTPUTNAME:凶暴猿 （Ape (Dire)）
Archon (Hound).MOD	OUTPUTNAME:神使，獒首神使 （Archon (Hound)）
Archon (Lantern).MOD	OUTPUTNAME:神使，圣光神使 （Archon (Lantern)）
Archon (Trumpet).MOD	OUTPUTNAME:神使，号角神使 （Archon (Trumpet)）
Assassin Vine.MOD	OUTPUTNAME:杀人藤 （Assassin Vine）
Azata (Bralani).MOD	OUTPUTNAME:巴拉尼天使 （Azata (Bralani)）
Azata (Ghaele).MOD	OUTPUTNAME:迦勒天 （Azata (Ghaele)）
Azata (Lillend).MOD	OUTPUTNAME:翼蛇人 （Azata (Lillend)）
Barghest.MOD	OUTPUTNAME:犬魔 （Barghest）
