Achaierai.MOD	OUTPUTNAME:鹦哥兽 （Achaierai）
Aeon (Akhana).MOD	OUTPUTNAME:生死御衡者 （Aeon (Akhana)）
Aeon (Bythos).MOD	OUTPUTNAME:时空御衡者 （Aeon (Bythos)）
Aeon (Paracletus).MOD	OUTPUTNAME:知行御衡者 （Aeon (Paracletus)）
Aeon (Pleroma).MOD	OUTPUTNAME:存灭御衡者 （Aeon (Pleroma)）
Aeon (Theletos).MOD	OUTPUTNAME:力命御衡者 （Aeon (Theletos)）
Agathion (Avoral).MOD	OUTPUTNAME:鹏羽天使 （Agathion (Avoral)）
Agathion (Cetaceal).MOD	OUTPUTNAME:鲸身天使 （Agathion (Cetaceal)）
Agathion (Draconal).MOD	OUTPUTNAME:龙首神使 （Agathion (Draconal)）
Agathion (Leonal).MOD	OUTPUTNAME:狮首神使 （Agathion (Leonal)）
Agathion (Silvanshee).MOD	OUTPUTNAME:灵猫神使 （Agathion (Silvanshee)）
Agathion (Vulpinal).MOD	OUTPUTNAME:灵狐神使 （Agathion (Vulpinal)）
Akata.MOD	OUTPUTNAME:阿卡塔 （Akata）
Amoeba (Giant).MOD	OUTPUTNAME:巨型变形虫 （Amoeba (Giant)）
Amoeba Swarm.MOD	OUTPUTNAME:变形虫集群 （Amoeba Swarm）
Amphisbaena.MOD	OUTPUTNAME:双头蛇 （Amphisbaena）
Angel (Cassisian).MOD	OUTPUTNAME:圣盔天使 （Angel (Cassisian)）
Angel (Monadic Deva).MOD	OUTPUTNAME:元素使徒 （Angel (Monadic Deva)）
Angel (Movanic Deva).MOD	OUTPUTNAME:光暗使徒 （Angel (Movanic Deva)）
Animate Dream.MOD	OUTPUTNAME:活化梦境 （Animate Dream）
Aranea.MOD	OUTPUTNAME:变形蛛 （Aranea）
Archon (Shield).MOD	OUTPUTNAME:坚盾神使 （Archon (Shield)）
Archon (Star).MOD	OUTPUTNAME:星辰神使 （Archon (Star)）
Athach.MOD	OUTPUTNAME:三臂巨怪 （Athach）
Attic Whisperer.MOD	OUTPUTNAME:阁楼低语者 （Attic Whisperer）
Aurumvorax.MOD	OUTPUTNAME:吞金兽 （Aurumvorax）
Axiomite.MOD	OUTPUTNAME:奇匠族 （Axiomite）
Azata (Brijidine).MOD	OUTPUTNAME:红焰使 （Azata (Brijidine)）
Azata (Lyrakien).MOD	OUTPUTNAME:莉拉妖精 （Azata (Lyrakien)）
Azer.MOD	OUTPUTNAME:火矮人 （Azer）
Badger.MOD	OUTPUTNAME:獾 （Badger）
Badger (Dire).MOD	OUTPUTNAME:凶暴獾 （Badger (Dire)）
Banshee.MOD	OUTPUTNAME:报丧女妖 （Banshee）
Bat (Mobat).MOD	OUTPUTNAME:魔宝蝙蝠 （Bat (Mobat)）
Bat (Skaveling).MOD	OUTPUTNAME:尸鬼蝙蝠 （Bat (Skaveling)）
Bee (Giant).MOD	OUTPUTNAME:巨蜂 （Bee (Giant)）
Bee (Giant Queen).MOD	OUTPUTNAME:巨蜂后 （Bee (Giant Queen)）
Bumblebee (Giant).MOD	OUTPUTNAME:巨黄蜂 （Bumblebee (Giant)）
Beetle (Goliath Stag).MOD	OUTPUTNAME:巨人锹甲虫 （Beetle (Goliath Stag)）
Beetle (Slicer).MOD	OUTPUTNAME:切割甲虫 （Beetle (Slicer)）
Belker.MOD	OUTPUTNAME:贝克风精 （Belker）
Blindheim.MOD	OUTPUTNAME:盲蛙 （Blindheim）
Blink Dog.MOD	OUTPUTNAME:闪现犬 （Blink Dog）
Bodak.MOD	OUTPUTNAME:波达尸 （Bodak）
Brownie.MOD	OUTPUTNAME:棕仙 （Brownie）
Bunyip.MOD	OUTPUTNAME:班依普 （Bunyip）
Carnivorous Blob.MOD	OUTPUTNAME:嗜肉体 （Carnivorous Blob）
Catoblepas.MOD	OUTPUTNAME:卡托布莱帕斯 （Catoblepas）
Chaos Beast.MOD	OUTPUTNAME:混沌兽 （Chaos Beast）
Charda.MOD	OUTPUTNAME:黑水怪 （Charda）
Charybdis.MOD	OUTPUTNAME:卡律布狄斯 （Charybdis）
Chupacabra.MOD	OUTPUTNAME:卓柏卡布拉 （Chupacabra）
Chupacabra (Flying).MOD	OUTPUTNAME:飞行卓柏卡布拉 （Chupacabra (Flying)）
Cockroach (Giant).MOD	OUTPUTNAME:巨蟑螂 （Cockroach (Giant)）
Cockroach (Giant Hissing).MOD	OUTPUTNAME:噪音巨蟑螂 （Cockroach (Giant Hissing)）
Cockroach (Venomroach).MOD	OUTPUTNAME:毒蟑螂 （Cockroach (Venomroach)）
Cockroach (Spitting).MOD	OUTPUTNAME:喷酸蟑螂 （Cockroach (Spitting)）
Cockroach (Sawback).MOD	OUTPUTNAME:锯齿蟑螂 （Cockroach (Sawback)）
Cockroach (Dragonroach).MOD	OUTPUTNAME:龙蟑螂 （Cockroach (Dragonroach)）
Cockroach Swarm.MOD	OUTPUTNAME:蟑螂群 （Cockroach Swarm）
Crawling Hand.MOD	OUTPUTNAME:伏行之手 （Crawling Hand）
Crawling Hand (Giant).MOD	OUTPUTNAME:伏行巨手 （Crawling Hand (Giant)）
Crypt Thing.MOD	OUTPUTNAME:守墓怪 （Crypt Thing）
Crysmal.MOD	OUTPUTNAME:水晶蝎 （Crysmal）
Daemon (Astradaemon).MOD	OUTPUTNAME:星界邪魔 （Daemon (Astradaemon)）
Daemon (Cacodaemon).MOD	OUTPUTNAME:狂躁邪魔 （Daemon (Cacodaemon)）
Daemon (Ceustodaemon).MOD	OUTPUTNAME:仆役邪魔 （Daemon (Ceustodaemon)）
Daemon (Ceustodaemon/Lesser).MOD	OUTPUTNAME:邪魔绪论 （Daemon (Ceustodaemon/Lesser)）
Daemon (Ceustodaemon/Greater).MOD	OUTPUTNAME:邪魔绪论 （Daemon (Ceustodaemon/Greater)）
Daemon (Derghodaemon).MOD	OUTPUTNAME:异虫邪魔 （Daemon (Derghodaemon)）
Daemon (Hydrodaemon).MOD	OUTPUTNAME:冥河邪魔 （Daemon (Hydrodaemon)）
Daemon (Leukodaemon).MOD	OUTPUTNAME:疫病邪魔 （Daemon (Leukodaemon)）
Daemon (Meladaemon).MOD	OUTPUTNAME:饥馑邪魔 （Daemon (Meladaemon)）
Daemon (Olethrodaemon).MOD	OUTPUTNAME:噬魂狂魔 （Daemon (Olethrodaemon)）
Daemon (Piscodaemon).MOD	OUTPUTNAME:残虐邪魔 （Daemon (Piscodaemon)）
Daemon (Purrodaemon).MOD	OUTPUTNAME:战狂邪魔 （Daemon (Purrodaemon)）
