Adaro.MOD	OUTPUTNAME:鲛人 （Adaro）
Adherer.MOD	OUTPUTNAME:黏着人 （Adherer）
Adlet.MOD	OUTPUTNAME:狼妖 （Adlet）
Ahuizotl.MOD	OUTPUTNAME:水猴 （Ahuizotl）
Akhlut.MOD	OUTPUTNAME:鲸狼 （Akhlut）
Allip.MOD	OUTPUTNAME:怨魂 （Allip）
Alraune.MOD	OUTPUTNAME:爱劳娜 （Alraune）
Annis Hag.MOD	OUTPUTNAME:妖鬼婆 （Annis Hag）
Ant Lion (Giant).MOD	OUTPUTNAME:巨蚁狮 （Ant Lion (Giant)）
Ant Lion (Giant Adult).MOD	OUTPUTNAME:巨蚁狮成虫 （Ant Lion (Giant Adult)）
Archon (Harbinger).MOD	OUTPUTNAME:预兆神使 （Archon (Harbinger)）
Archon (Legion).MOD	OUTPUTNAME:军团神使 （Archon (Legion)）
Ascomoid.MOD	OUTPUTNAME:毒气真菌 （Ascomoid）
Asura (Adhukait).MOD	OUTPUTNAME:阿修罗，暴跳修罗 （Asura (Adhukait)）
Asura (Aghasura).MOD	OUTPUTNAME:阿修罗，巨蛇修罗 （Asura (Aghasura)）
Asura (Asurendra).MOD	OUTPUTNAME:阿修罗，阿修罗王 （Asura (Asurendra)）
Asura (Tripurasura).MOD	OUTPUTNAME:阿修罗，奇叵修罗 （Asura (Tripurasura)）
Asura (Upasunda).MOD	OUTPUTNAME:阿修罗，乌跋修罗 （Asura (Upasunda)）
Atomie.MOD	OUTPUTNAME:微粒精 （Atomie）
Axe Beak.MOD	OUTPUTNAME:斧嘴鸟 （Axe Beak）
Axe Beak (Diatryma).MOD	OUTPUTNAME:斧嘴鸟 （Axe Beak (Diatryma)）
Axe Beak (Terror Bird).MOD	OUTPUTNAME:斧嘴鸟 （Axe Beak (Terror Bird)）
Azruverda.MOD	OUTPUTNAME:人脸虫 （Azruverda）
Baku.MOD	OUTPUTNAME:梦貘 （Baku）
Bandersnatch.MOD	OUTPUTNAME:长爪怪 （Bandersnatch）
Baregara.MOD	OUTPUTNAME:深渊魔猿 （Baregara）
Baykok.MOD	OUTPUTNAME:猎生尸 （Baykok）
Behemoth (Tempest).MOD	OUTPUTNAME:比蒙巨兽，风暴鹏 （Behemoth (Tempest)）
Behemoth (Thalassic).MOD	OUTPUTNAME:比蒙巨兽，深海鲲 （Behemoth (Thalassic)）
Behemoth (Thunder).MOD	OUTPUTNAME:比蒙巨兽，雷霆夔 （Behemoth (Thunder)）
Berbalang.MOD	OUTPUTNAME:分身魔 （Berbalang）
Bhuta.MOD	OUTPUTNAME:浮陀 （Bhuta）
Bogeyman.MOD	OUTPUTNAME:怪蜀黍 （Bogeyman）
Brain Ooze.MOD	OUTPUTNAME:脑泥怪 （Brain Ooze）
Carbuncle.MOD	OUTPUTNAME:卡班克尔 （Carbuncle）
Carnivorous Crystal.MOD	OUTPUTNAME:肉食晶簇 （Carnivorous Crystal）
Caryatid Column.MOD	OUTPUTNAME:柱人像 （Caryatid Column）
Caulborn.MOD	OUTPUTNAME:膜生怪 （Caulborn）
Cecaelia.MOD	OUTPUTNAME:赛卡利亚 （Cecaelia）
Ceratioidi.MOD	OUTPUTNAME:深海鱼怪 （Ceratioidi）
Cerberi.MOD	OUTPUTNAME:三头地狱犬 （Cerberi）
Cerebric Fungus.MOD	OUTPUTNAME:脑霉菌 （Cerebric Fungus）
Clockwork (Goliath).MOD	OUTPUTNAME:发条巨兵 （Clockwork (Goliath)）
Clockwork (Leviathan).MOD	OUTPUTNAME:发条海兽 （Clockwork (Leviathan)）
Clockwork (Servant).MOD	OUTPUTNAME:发条侍从 （Clockwork (Servant)）
Clockwork (Soldier).MOD	OUTPUTNAME:发条士兵 （Clockwork (Soldier)）
Clockwork (Spy).MOD	OUTPUTNAME:发条斥候 （Clockwork (Spy)）
Cold Rider.MOD	OUTPUTNAME:冰寒骑士 （Cold Rider）
Crab (Shipwrecker).MOD	OUTPUTNAME:斩舰蟹 （Crab (Shipwrecker)）
Crab (Shark-Eating).MOD	OUTPUTNAME:食鲨蟹 （Crab (Shark-Eating)）
Cyclops (Great).MOD	OUTPUTNAME:独眼巨兽 （Cyclops (Great)）
Daemon (Crucidaemon).MOD	OUTPUTNAME:拷问邪魔 （Daemon (Crucidaemon)）
Daemon (Vulnudaemon).MOD	OUTPUTNAME:怨童邪魔 （Daemon (Vulnudaemon)）
Deathtrap Ooze.MOD	OUTPUTNAME:死亡陷阱怪 （Deathtrap Ooze）
Deathweb.MOD	OUTPUTNAME:死亡之网 （Deathweb）
Demilich.MOD	OUTPUTNAME:半巫妖 （Demilich）
Demodand (Shaggy).MOD	OUTPUTNAME:蓬毛魔孽 （Demodand (Shaggy)）
Demodand (Slimy).MOD	OUTPUTNAME:粘液魔孽 （Demodand (Slimy)）
Demodand (Tarry).MOD	OUTPUTNAME:墨油魔孽 （Demodand (Tarry)）
Demon (Coloxus).MOD	OUTPUTNAME:恶魔，蝇魔 （Demon (Coloxus)）
Demon (Incubus).MOD	OUTPUTNAME:恶魔，梦魔 （Demon (Incubus)）
Demon (Schir).MOD	OUTPUTNAME:恶魔，希尔魔 （Demon (Schir)）
Derhii.MOD	OUTPUTNAME:飞猿 （Derhii）
Devil (Contract).MOD	OUTPUTNAME:契约魔 （Devil (Contract)）
Dinosaur (Dimetrodon).MOD	OUTPUTNAME:帆龙 （Dinosaur (Dimetrodon)）
Dinosaur (Iguanodon).MOD	OUTPUTNAME:禽龙 （Dinosaur (Iguanodon)）
Dinosaur (Pachycephalosaurus).MOD	OUTPUTNAME:肿头龙 （Dinosaur (Pachycephalosaurus)）
Dinosaur (Spinosaurus).MOD	OUTPUTNAME:棘龙 （Dinosaur (Spinosaurus)）
Dire Corby.MOD	OUTPUTNAME:恶鸦人 （Dire Corby）
