CLASS:Barbarian.MOD	OUTPUTNAME:野蠻人
CLASS:Bard.MOD	OUTPUTNAME:吟遊詩人	
CLASS:Cleric.MOD	OUTPUTNAME:牧師	
CLASS:Druid.MOD	OUTPUTNAME:德魯伊
CLASS:Fighter.MOD	OUTPUTNAME:戰士	
CLASS:Monk.MOD	OUTPUTNAME:武僧	
CLASS:Paladin.MOD	OUTPUTNAME:聖騎士
CLASS:Ranger.MOD	OUTPUTNAME:遊俠	
CLASS:Rogue.MOD	OUTPUTNAME:盜賊	
CLASS:Sorcerer.MOD	OUTPUTNAME:術士
CLASS:Wizard.MOD	OUTPUTNAME:法師
CLASS:Wizard.MOD	
SUBCLASS:Abjurer	OUTPUTNAME:法師（防護學派）
#SUBCLASS:Abjurer.MOD	OUTPUTNAME:法師（防護學派）
#SUBCLASS:Conjurer.MOD	OUTPUTNAME:法師（咒法學派）
#SUBCLASS:Diviner.MOD	OUTPUTNAME:法師（預言學派）
#SUBCLASS:Enchanter.MOD	OUTPUTNAME:法師（惑控學派）
#SUBCLASS:Evoker.MOD	OUTPUTNAME:法師（塑能學派）
#SUBCLASS:Illusionist.MOD	OUTPUTNAME:法師（幻術學派）
#SUBCLASS:Necromancer.MOD	OUTPUTNAME:法師（死靈學派）
#SUBCLASS:Transmuter.MOD	OUTPUTNAME:法師（變化學派）
#SUBCLASS:Universalist.MOD	OUTPUTNAME:法師（普通學派）
CLASS:Arcane Archer.MOD	OUTPUTNAME:魔射手
CLASS:Arcane Trickster.MOD	OUTPUTNAME:詭術師	
CLASS:Assassin.MOD	OUTPUTNAME:刺客	
CLASS:Dragon Disciple.MOD	OUTPUTNAME:龍脈術士	
CLASS:Duelist.MOD	OUTPUTNAME:決鬥家	
CLASS:Eldritch Knight.MOD	OUTPUTNAME:奧法騎士	
CLASS:Loremaster.MOD	OUTPUTNAME:博學士	
CLASS:Mystic Theurge.MOD	OUTPUTNAME:秘術師	
CLASS:Pathfinder Chronicler.MOD	OUTPUTNAME:歷史探索者
CLASS:Shadowdancer.MOD	OUTPUTNAME:影舞者	
CLASS:Adept.MOD	OUTPUTNAME:導師	
CLASS:Aristocrat.MOD	OUTPUTNAME:望族	
CLASS:Commoner.MOD	OUTPUTNAME:平民	
CLASS:Expert.MOD	OUTPUTNAME:專家
CLASS:Warrior.MOD	OUTPUTNAME:武者
