CLASS:Barbarian.MOD	OUTPUTNAME:野蠻人 (Barbarian)
CLASS:Bard.MOD	OUTPUTNAME:吟遊詩人 (Bard)
CLASS:Cleric.MOD	OUTPUTNAME:牧師 (Cleric)
CLASS:Druid.MOD	OUTPUTNAME:德魯伊 (Druid)
CLASS:Fighter.MOD	OUTPUTNAME:戰士 (Fighter)
CLASS:Monk.MOD	OUTPUTNAME:武僧 (Monk)
CLASS:Paladin.MOD	OUTPUTNAME:聖騎士 (Paladin)
CLASS:Ranger.MOD	OUTPUTNAME:遊俠 (Ranger)
CLASS:Rogue.MOD	OUTPUTNAME:盜賊 (Rogue)
CLASS:Sorcerer.MOD	OUTPUTNAME:術士 (Sorcerer)
CLASS:Wizard.MOD	OUTPUTNAME:法師 (Wizard)
#SUBCLASS:Abjurer	OUTPUTNAME:法師（防護學派）
#SUBCLASS:Abjurer.MOD	OUTPUTNAME:法師（防護學派）
#SUBCLASS:Conjurer.MOD	OUTPUTNAME:法師（咒法學派）
#SUBCLASS:Diviner.MOD	OUTPUTNAME:法師（預言學派）
#SUBCLASS:Enchanter.MOD	OUTPUTNAME:法師（惑控學派）
#SUBCLASS:Evoker.MOD	OUTPUTNAME:法師（塑能學派）
#SUBCLASS:Illusionist.MOD	OUTPUTNAME:法師（幻術學派）
#SUBCLASS:Necromancer.MOD	OUTPUTNAME:法師（死靈學派）
#SUBCLASS:Transmuter.MOD	OUTPUTNAME:法師（變化學派）
#SUBCLASS:Universalist.MOD	OUTPUTNAME:法師（普通學派）
CLASS:Arcane Archer.MOD	OUTPUTNAME:魔射手 (Arcane Archer)
CLASS:Arcane Trickster.MOD	OUTPUTNAME:詭術師 (Arcane Trickster)
CLASS:Assassin.MOD	OUTPUTNAME:刺客 (Assassin)
CLASS:Dragon Disciple.MOD	OUTPUTNAME:龍脈術士 (Dragon Disciple)
CLASS:Duelist.MOD	OUTPUTNAME:決鬥家 (Duelist)
CLASS:Eldritch Knight.MOD	OUTPUTNAME:奧法騎士 (Eldritch Knight)
CLASS:Loremaster.MOD	OUTPUTNAME:博學士 (Loremaster)
CLASS:Mystic Theurge.MOD	OUTPUTNAME:秘術師 (Mystic Theurge)
CLASS:Pathfinder Chronicler.MOD	OUTPUTNAME:歷史探索者 (Pathfinder Chronicler)
CLASS:Shadowdancer.MOD	OUTPUTNAME:影舞者 (Shadowdancer)
CLASS:Adept.MOD	OUTPUTNAME:導師 (Adept)
CLASS:Aristocrat.MOD	OUTPUTNAME:望族 (Aristocrat)
CLASS:Commoner.MOD	OUTPUTNAME:平民 (Commoner)
CLASS:Expert.MOD	OUTPUTNAME:專家 (Expert)
CLASS:Warrior.MOD	OUTPUTNAME:武者 (Warrior)
