Mithral Shirt.MOD	OUTPUTNAME:秘銀衫 （Mithral Shirt）
Mistmail.MOD	OUTPUTNAME:霧紡軟甲 （Mistmail）
Otyugh Hide.MOD	OUTPUTNAME:食腐獸皮甲 （Otyugh Hide）
Dragonhide Plate.MOD	OUTPUTNAME:龍革板甲 （Dragonhide Plate）
Elven Chain.MOD	OUTPUTNAME:精靈鏈甲 （Elven Chain）
Rhino Hide.MOD	OUTPUTNAME:犀牛皮甲 （Rhino Hide）
Stalking Armor (Cold).MOD	OUTPUTNAME:追跡甲（寒地）（Stalking Armor（Cold））
Stalking Armor (Desert).MOD	OUTPUTNAME:追跡甲（沙漠）（Stalking Armor（Desert））
Stalking Armor (Forest).MOD	OUTPUTNAME:追跡甲（森林）（Stalking Armor（Forest））
Stalking Armor (Jungle).MOD	OUTPUTNAME:追跡甲（叢林）（Stalking Armor（Jungle））
Stalking Armor (Mountain).MOD	OUTPUTNAME:追跡甲（山脈）（Stalking Armor（Mountain））
Stalking Armor (Plains).MOD	OUTPUTNAME:追跡甲（平原）（Stalking Armor（Plains））
Stalking Armor (Swamp).MOD	OUTPUTNAME:追跡甲（沼澤）（Stalking Armor（Swamp））
Stalking Armor (Underground).MOD	OUTPUTNAME:追跡甲（地下）（Stalking Armor（Underground））
Stalking Armor (Urban).MOD	OUTPUTNAME:追跡甲（都市）（Stalking Armor（Urban））
Stalking Armor (Water).MOD	OUTPUTNAME:追跡甲（水）（Stalking Armor（Water））
Morlock Hide.MOD	OUTPUTNAME:穴人皮 （Morlock Hide）
Adamantine Breastplate.MOD	OUTPUTNAME:精金胸甲 （Adamantine Breastplate）
Soothsayer's Raiment.MOD	OUTPUTNAME:卜命師外袍 （Soothsayer's Raiment）
Equestrian Plate.MOD	OUTPUTNAME:重騎護甲 （Equestrian Plate）
Enchanted Eelskin.MOD	OUTPUTNAME:附魔鰻皮 （Enchanted Eelskin）
Tireless Tracking Hide.MOD	OUTPUTNAME:不倦急行甲（Tireless Tracking Hide）
Boneless Leather.MOD	OUTPUTNAME:無骨皮甲 （Boneless Leather）
Murderer's Blackcloth.MOD	OUTPUTNAME:殺手黑袍 （Murderer's Blackcloth）
