Bullet (Tracer).MOD	OUTPUTNAME:曳光彈 （Tracer Bullet）
Arrow (Sleep).MOD	OUTPUTNAME:睡眠箭 （Sleep Arrow）
Bullet (Dustburst).MOD	OUTPUTNAME:爆煙彈 （Dustburst Bullet）
Bolt (Tangle).MOD	OUTPUTNAME:絆足矢 （Tangle Bolt）
Bolt (Screaming).MOD	OUTPUTNAME:尖嘯矢 （Screaming Bolt）
Dagger (Silver/Masterwork).MOD	OUTPUTNAME:精製品銀匕首 （Masterwork Silver Dagger）
Bullet (Alchemist's).MOD	OUTPUTNAME:煉金劑彈丸 （Alchemist's Bullet）
Longsword (Cold Iron/Masterwork).MOD	OUTPUTNAME:精製品寒鐵長劍 （Cold iron masterwork Longsword）
Arrow (Hushing).MOD	OUTPUTNAME:消音箭 （Hushing Arrow）
Arrow (Hushing/Greater).MOD	OUTPUTNAME:高等消音箭 （Hushing Arrow, greater）
Javelin of Lightning.MOD	OUTPUTNAME:閃電標槍 （Javelin of Lighting）
Arrow (Searing).MOD	OUTPUTNAME:灼熱箭 （Searing Arrow）
Arrow (Sizzling).MOD	OUTPUTNAME:溶蝕箭 （Sizzling Arrow）
Bullet (Burrowing/Lesser).MOD	OUTPUTNAME:次等透體彈 （Burrowing Bullet, lesser）
Bolt (Dust).MOD	OUTPUTNAME:干塵矢 （Dust Bolt）
Arrow (Slaying).MOD	OUTPUTNAME:殺戮箭 （Slaying Arrow）
Dagger (Adamantine).MOD	OUTPUTNAME:精金匕首 （Adamantine Dagger）
Battleaxe (Adamantine).MOD	OUTPUTNAME:精金戰斧 （Adamantine Battleaxe）
Bullet (Burrowing/Greater).MOD	OUTPUTNAME:次等透體彈 （Burrowing Bullet, greater）
Arrow (Slaying/Greater).MOD	OUTPUTNAME:高等殺戮箭 （Slaying Arrow, greater）
Lance (Jousting).MOD	OUTPUTNAME:比武長槍 （Lance of Jousting）
Shatterspike.MOD	OUTPUTNAME:破碎荊棘 （Shatterspike）
Kukri (Bloodletting).MOD	OUTPUTNAME:放血反曲刀 （Bloodletting Kukri）
Mace (Boulderhead).MOD	OUTPUTNAME:石頭重錘 （Boulderhead Mace）
Beaststrike Club.MOD	OUTPUTNAME:獸擊之棍 （Beaststrike Club）
Fighter's Fork.MOD	OUTPUTNAME:鬥士三叉矛 （Fighter's Fork）
Swashbuckler's Rapier.MOD	OUTPUTNAME:劍客細劍（Swashbuckler's Rapier）
Everflowing Aspergillum.MOD	OUTPUTNAME:不竭花灑 （Everflowing Aspergillum）
Quarterstaff (Hurricane).MOD	OUTPUTNAME:疾風齊眉棍 （Hurricane Quarterstaff）
Dagger of Venom.MOD	OUTPUTNAME:劇毒匕首 （Dagger of Venom）
Gloom Blade.MOD	OUTPUTNAME:暗刃 （Gloom Blade）
Sling (Frostbite).MOD	OUTPUTNAME:霜疫投索 （Frostbite Sling）
Trident of Stability.MOD	OUTPUTNAME:穩定三叉戟 （Trident of Stability）
Trident of Warning.MOD	OUTPUTNAME:警戒三叉戟 （Trident of Warning）
Dagger (Assassin's).MOD	OUTPUTNAME:刺客之匕 （Assassin's Dagger）
Dagger of Doubling.MOD	OUTPUTNAME:雙分匕首 （Dagger of Doubling）
Earthenflail.MOD	OUTPUTNAME:土地連枷 （Earthenflail）
Swift Obsidian Greataxe.MOD	OUTPUTNAME:迅捷黑曜斧 （Swift Obsidian Greataxe）
Hammer (Polarity).MOD	OUTPUTNAME:磁極飛錘 （Polarity Hammer）
Blade of Binding.MOD	OUTPUTNAME:束縛劍 （Blade of Binding）
Shifter's Sorrow.MOD	OUTPUTNAME:變形者之傷 （Shifter's Sorrow）
Guisarme (Dragoncatch).MOD	OUTPUTNAME:獵龍長鉤刀 （Dragoncatch Guisarme）
Headsman's Blade.MOD	OUTPUTNAME:斬首者之刃（Headsman's Blade）
Sword (Ten-Ring).MOD	OUTPUTNAME:十環刀 （Ten-ring Sword）
Trident (Triton's).MOD	OUTPUTNAME:海衛三叉戟 （Triton's Trident）
Disarming Blade.MOD	OUTPUTNAME:繳械劍 （Disarming Blade）
Lash of the Howler.MOD	OUTPUTNAME:嚎獸長鞭 （Lash of the Howler）
Lance (Shieldsplitter).MOD	OUTPUTNAME:裂盾長槍 （Shieldsplitter Lance）
Trident of Fish Command.MOD	OUTPUTNAME:馭魚三叉戟 （Trident of Fish Command）
Quarterstaff of Vaulting.MOD	OUTPUTNAME:騰空杖 （Quarterstaff of Vaulting）
Pistol (Firedrake).MOD	OUTPUTNAME:炎龍手槍 （Firedrake Pistol）
Hammer (Ricochet).MOD	OUTPUTNAME:彈跳飛錘 （Ricochet Hammer）
Flame Tongue.MOD	OUTPUTNAME:烈焰之舌 （Flame Tongue）
Starknife (Sparkwake).MOD	OUTPUTNAME:閃爍星刃 （Sparkwake Starknife）
Luck Blade (0 Wishes).MOD	OUTPUTNAME:吉兆刃 （Luck Blade, 0願望）
Sword of Subtlety.MOD	OUTPUTNAME:機敏劍 （Sword of Subtlety）
Sword of the Planes.MOD	OUTPUTNAME:位面之劍 （Sword of the Planes）
