Aasimar.MOD	OUTPUTNAME:神裔（Aasimar）
Catfolk.MOD	OUTPUTNAME:貓族（Catfolk）
Dhampir.MOD	OUTPUTNAME:吸血裔（Dhampir）
Drow.MOD	OUTPUTNAME:卓爾（Drow）
Fetchling.MOD	OUTPUTNAME:竊影鬼（Fetchling）
Goblin.MOD	OUTPUTNAME:地精（Goblin）
Hobgoblin.MOD	OUTPUTNAME:大地精（Hobgoblin）
Ifrit.MOD	OUTPUTNAME:火元素裔（Ifrit）
Kobold.MOD	OUTPUTNAME:狗頭人（Kobold）
Orc.MOD	OUTPUTNAME:獸人（Orc）
Oread.MOD	OUTPUTNAME:土元素裔（Oread）
Ratfolk.MOD	OUTPUTNAME:鼠族（Ratfolk）
Sylph.MOD	OUTPUTNAME:風元素裔（Sylph）
Tengu.MOD	OUTPUTNAME:天狗（Tengu）
Tiefling.MOD	OUTPUTNAME:魔裔（Tiefling）
Undine.MOD	OUTPUTNAME:水元素裔（Undine）
Changeling.MOD	OUTPUTNAME:替換兒（Changeling）
Duergar.MOD	OUTPUTNAME:灰矮人（Duergar）
Gillman.MOD	OUTPUTNAME:半魚人（Gillman）
Grippli.MOD	OUTPUTNAME:樹蛙人（Grippli）
Kitsune.MOD	OUTPUTNAME:狐妖（Kitsune）
Merfolk.MOD	OUTPUTNAME:人魚（Merfolk）
Nagaji.MOD	OUTPUTNAME:娜迦裔（Nagaji）
Samsaran.MOD	OUTPUTNAME:輪迴者（Samsaran）
Strix.MOD	OUTPUTNAME:鴞形人（Strix）
Suli.MOD	OUTPUTNAME:巨靈裔（Suli）
Svirfneblin.MOD	OUTPUTNAME:地底侏儒（Svirfneblin）
Vanara.MOD	OUTPUTNAME:靈猴族（Vanara）
Vishkanya.MOD	OUTPUTNAME:蝮血裔（Vishkanya）
Wayang.MOD	OUTPUTNAME:剪影人（Wayang）
