Acrobatics.MOD	OUTPUTNAME:特技 (Acrobatics)
Appraise.MOD	OUTPUTNAME:估價 (Appraise)
Bluff.MOD	OUTPUTNAME:唬騙 (Bluff)	
Climb.MOD	OUTPUTNAME:攀爬 (Climb)
Craft (Alchemy).MOD	OUTPUTNAME:工藝 (煉金術) (Craft (Alchemy))	
Craft (Armor).MOD	OUTPUTNAME:工藝 (打造護甲) (Craft (Armor))
Craft (Baskets).MOD	OUTPUTNAME:工藝 (器具編織) (Craft (Baskets)))
Craft (Blacksmithing).MOD	OUTPUTNAME:工藝 (鐵匠技術) (Craft (Blacksmithing))
Craft (Books).MOD	OUTPUTNAME:工藝 (書籍裝訂) (Craft (Books))
Craft (Bows).MOD	OUTPUTNAME:工藝 (弓矢製作) (Craft (Bows))
Craft (Calligraphy).MOD	OUTPUTNAME:工藝 (書法藝術) (Craft (Calligraphy))
Craft (Carpentry).MOD	OUTPUTNAME:工藝 (木工技術) (Craft (Carpentry))
Craft (Cloth).MOD	OUTPUTNAME:工藝 (紡織布匹) (Craft (Cloth))
Craft (Clothing).MOD	OUTPUTNAME:工藝 (裁剪衣物) (Craft (Clothing))
Craft (Gemcutting).MOD	OUTPUTNAME:工藝 (宝石雕琢) (Craft (Gemcutting))
Craft (Glass).MOD	OUTPUTNAME:工藝 (吹制玻璃) (Craft (Glass))
Craft (Jewelry).MOD	OUTPUTNAME:工藝 (珠寶加工) (Craft (Jewelry))
Craft (Leather).MOD	OUTPUTNAME:工藝 (鞣制皮革) (Craft (Leather))
Craft (Locks).MOD	OUTPUTNAME:工藝 (設計鎖具) (Craft (Locks))
Craft (Paintings).MOD	OUTPUTNAME:工藝 (繪畫藝術) (Craft (Paintings))
Craft (Pottery).MOD	OUTPUTNAME:工藝 (燒製陶器) (Craft (Pottery))
Craft (Sculptures).MOD	OUTPUTNAME:工藝 (製作雕塑) (Craft (Sculptures))
Craft (Ships).MOD	OUTPUTNAME:工藝 (修建船隻) (Craft (Ships))
Craft (Shoes).MOD	OUTPUTNAME:工藝 (製作鞋履) (Craft (Shoes))
Craft (Stonemasonry).MOD	OUTPUTNAME:工藝 (石工技術) (Craft (Stonemasonry))
Craft (Traps).MOD	OUTPUTNAME:工藝 (布設陷阱) (Craft (Traps))
Craft (Weapons).MOD	OUTPUTNAME:工藝 (鍛造武器) (Craft (Weapons))
Craft (Untrained).MOD	OUTPUTNAME:工藝 (未受訓) (Craft (Untrained))
Diplomacy.MOD	OUTPUTNAME:交涉 (Diplomacy)	
Disable Device.MOD	OUTPUTNAME:解除裝置 (Disable Device)
Disguise.MOD	OUTPUTNAME:易容 (Disguise)	
Escape Artist.MOD	OUTPUTNAME:脫逃 (Escape Artist)	
Fly.MOD	OUTPUTNAME:飛行 (Fly)	
Handle Animal.MOD	OUTPUTNAME:馴養動物 (Handle Animal)	
Heal.MOD	OUTPUTNAME:醫療 (Heal)	
Intimidate.MOD	OUTPUTNAME:威嚇 (Intimidate)	
Knowledge (Arcana).MOD	OUTPUTNAME:知識 (奧秘) (Knowledge (Arcana))	
Knowledge (Dungeoneering).MOD	OUTPUTNAME:知識 (地城) (Knowledge (Dungeoneering))	
Knowledge (Engineering).MOD	OUTPUTNAME:知識 (工程) (Knowledge (Engineering))	
Knowledge (Geography).MOD	OUTPUTNAME:知識 (地理) (Knowledge (Geography))	
Knowledge (History).MOD	OUTPUTNAME:知識 (歷史) (Knowledge (History))	
Knowledge (Local).MOD	OUTPUTNAME:知識 (地方) (Knowledge (Local))	
Knowledge (Nature).MOD	OUTPUTNAME:知識 (自然) (Knowledge (Nature))	
Knowledge (Nobility).MOD	OUTPUTNAME:知識 (貴族) (Knowledge (Nobility))	
Knowledge (Planes).MOD	OUTPUTNAME:知識 (位面) (Knowledge (Planes))	
Knowledge (Religion).MOD	OUTPUTNAME:知識 (宗教) (Knowledge (Religion))	
Knowledge (Untrained).MOD	OUTPUTNAME:知識 (未受訓) (Knowledge (Untrained))	
Linguistics.MOD	OUTPUTNAME:語言學 (Liguistics)	
Perception.MOD	OUTPUTNAME:察覺 (Perception)
Perform (Act).MOD	OUTPUTNAME:表演 (戲劇) (Perform (Act))	
Perform (Comedy).MOD	OUTPUTNAME:表演 (喜劇) (Perform (Comedy))	
Perform (Dance).MOD	OUTPUTNAME:表演 (舞蹈) (Perform (Dance))	
Perform (Keyboard Instruments).MOD	OUTPUTNAME:表演 (鍵盤) (Perform (Keyboard Instruments))	
Perform (Oratory).MOD	OUTPUTNAME:表演 (朗誦) (Perform (Oratory))	
